hindi,phon
असामयिक, a - s aa m @ y i k
असामर्थ्य, a - s aa m a r th y @
असामान्य, a - s aa m aa n y @
असामी, a s aa m ii
असाम्य, a - s aa m y @
असार, a - s aa r
असारता, a - s aa r @ t aa
असार्वजनिक, a - s aa r v @ j a n i k
असावधान, a - s aa v @ - dh aa n
असावधानता, a - s aa v @ - dh aa n @ t aa
असावधानी, a - s aa v @ - dh aa n ii
असावरी, a s aa v @ r ii
असाहस, a - s aa h a s
असाहसी, a - s aa h @ s ii
असि, a s i
असित, a s i t
असिद्ध, a - s i d dh
असिद्धि, a - s i d dh i
असीम, a - s ii m
असीमित, a - s ii m i t
असील, a s ii l
असीस, a s ii s
असीसना, a s ii s n aa
असु, a s u
असु, a s u
असुख, a - s u kh
असुखी, a - s u kh ii
असुर, a s u r
अंसुरी, a s u r ii
असुविधा, a - s u - v i - dh aa
असूझ, a - s uu jh
असूया, a s uu y aa
असृज, a s r i j
असेवन, a - s e v a n
असेवा, a - s e v aa
असेवित, a - s e v i t
असेसर, a s e s a r
असों, a s o ~
असोकी, a - s o k ii
असोग, a - s o g
असोच, a - s o c
असोची, a - s o c ii
असोच्य, a - s o c y @
असोज, a s o j
अस्त, a s t
अस्तबल, a s t a b a l
अस्तब्ध, a - s t a b dh
अस्तर, a s t a r
अस्त-व्यस्त, a s t a - v y a s t
अस्तव्यस्तता, a s t a v y a s t @ t aa
अस्ति, a s t i
अस्तित्व, a s t i t v @
अस्तु, a s t u
अस्तुति, a - s t u t i
अस्त्र, a s t r @
अस्थल, a s th a l
अस्थावर, a - s th aa v a r
अस्थायी, a - s th aa y ii
अस्थि, a s th i
अस्थित, a - s th i t
अस्थित, a s th i t
अस्थिति, a - s th i t i
अस्थिर, a - s th i r
अस्थिरता, a - s th i r @ t aa
अस्थि-समर्पण, a s th i - s a m a r p a n
अस्थैर्य, a - s th E r y @
अस्निग्ध, a - s n i g dh
अस्नेह, a - s n e h
अस्पताल, a s p a t aa l
अस्पर्श, a - s p a r sh
अस्पर्शनीय, a - s p a r sh @ n ii y @
अस्पष्ट, a - s p a sh tt
अस्पष्टता, a - s p a sh tt @ t aa
अस्पृश्य, a - s p r i sh y @
अस्पृश्यता, a - s p r i sh y @ t aa
अस्पृष्ट, a - s p r i sh tt
अस्पृह, a - s p r i h
अस्फुट, a - s ph u tt
अस्मत, a s m a t
अस्मरण, a - s m a r a n
अस्मिता, a s m i t aa
अस्मृति, a - s m r i t i
अस्त्र, a s r @
अस्वाँसी, a s v aa n s ii
अस्वामिक, a - s v aa m i k
अस्वामी, a - s v aa m ii
अस्वार्थ, a - s v aa r th
अस्वार्थी, a - s v aa r th ii
अस्वीकरण, a - s v ii k a r a n
अस्वीकार, a - s v ii k aa r
अस्वीकार्य, a - s v ii k aa r y @
अस्वीकृत, a - s v ii k r i t
अस्वीकृति, a - s v ii k r i t i
अस्सी, a s s ii
अहं, a h a ~
अहंता, a h a n t aa
अह, a h
अह, a h
अह, a h
अहत, a h a t
अहद, a h d
अहदी, a h d ii
अहम, a h m
अहमक़, a h m a q
अहमक़पन, a h m a q p a n
अहमक़ी, a h m a q ii
अहमिति, a h a m i t i
अहमियत, a h m i y a t
अहर-, a h a r -
अहरन, a h r a n
अहरिमन, a h r i m a n
अहरिमान, a h r i m aa n
अहरी, a h r ii
अहर्ष, a - h a r sh
अहर्षित, a - h a r sh i t
अहल, a h l
अहल-, a h l -
अहला, a h l aa
अहवाल, a h v aa l
अहसान, a h s aa n
अहसास, a h s aa s
अहसि, a h a s i
अहह, a h a h
अहा, a h aa
अहाता, a h aa t aa
अहार, a h aa r
अहार, a h aa r
अहारना, a h aa r n aa
अहिंसक, a - h i n s a k
अहिंसा, a - h i n s aa
अहि, a h i
अहित, a - h i t
अहिनी, a h i n ii
अहिवात, a h i v aa t
अहिवाती, a h i v aa t ii
अहीटा, a h ii tt aa
अहीर, a h ii r
अहीरन, a h ii r a n
अहे, a h e
अहेड़, a h e rr
अहेड़ी, a h e rr ii
अहेतु, a - h e t u
अहेतुक, a - h e t u k
अहेर, a h e r
अहेरन, a h e r a n
अहेरी, a h e r ii
अहेरु, a h e r u
अहइ, a h a i
अहै, a h E
अहो, a h o
अहो-, a h o -
अहोई, a h o ii
अहोभाग्य, a h o bh aa g y @
आह्वान, a h v aa n
आ, aa
आँक, aa ~ k
आँकड़ा, aa ~ k rr aa
आँकना, aa ~ k n aa
आंकिकी, aa ~ k i k ii
आँख, aa ~ kh
आँख, aa ~ kh
आँग, aa ng g
आँगन, aa ng g a n
आँगा, aa ng g aa
आँगी, aa ng g ii
आँगुल, aa ng g u l
आँच, aa n c
आँचल, aa n c a l
आंचलिक, aa n c a l i k
आँचू, aa n c uu
आँजन, aa n j a n
आँजना, aa n j n aa
आंजनेय, aa n @ n e y
आँजि, aa n j i
आँट, aa n tt
आँट-, aa n tt -
आँटी, aa n tt ii
आँठी, aa n tth ii
आँड, aa n dd
आँड़, aa ~ rr
आँड़ू, aa ~ rr uu
आँड़े-बाँड़े, aa ~ rr e - b aa ~ rr e
आँत, aa n t
आंतरिक, aa n t @ r i k
आँद, aa n d
आंदन, aa n d a n
आँदू, aa n d uu
आंदोलन, aa n d o l a n
आँधी, aa n dh ii
आँब, aa m b
आँबी, aa m b ii
आँयबाँय, aa ~ y - b aa ~ y
आँव, aa ~ v
आँवन, aa ~ v a n
आँवल, aa ~ v a l
आँवल, aa ~ v a l
आँवला, aa ~ v l aa
आँवले, aa ~ v l e
आँवा, aa ~ v aa
आँसू, aa n s uu
-आ, - aa
आ-, aa -
आइंदा, aa i n d aa
आइ, aa i
-आइन, - aa i n
आई, aa ii
आई, aa ii
-आई, - aa ii
आईन, aa ii n
आईना, aa ii n aa
आईनी, aa ii n ii
आउ, aa u
-आऊ, - aa uu
आऊस, aa uu s
आकंप, aa - k a m p
आकंपन, aa - k a m p a n
आकंपित, aa - k a m p i t
आक, aa k
आकन, aa k a n
आकर, aa - k a r
आकरी, aa k @ r ii
आकर्ष, aa - k a r sh
आकर्षक, aa - k a r sh a k
आकर्षण, aa - k a r sh a n
आकर्षिक, aa - k a r sh i k
आकर्षित, aa - k a r sh i t
आकर्षी, aa - k a r sh ii
आकलन, aa - k a l a n
आकला, aa k l aa
आकली, aa k l ii
आकस्मिक, aa k a s m i k
आकस्मिकता, aa k a s m i k @ t aa
आकस्मिकी, aa k a s m i k ii
आकांक्षक, aa - k aa ~ k sh a k
आकांक्षा, aa - k aa ~ k sh aa
आकांक्षित, aa - k aa ~ k sh i t
आकांक्षी, aa - k aa ~ k sh ii
आक़बत, aa q a b a t
आक़ा, aa q aa
आकार, aa - k aa r
आकार, aa - k aa r
आकारण, aa - k aa r a n
आकारित, aa - k aa r i t
आकारी, aa - k aa r ii
आकाश, aa - k aa sh
आकाशी, aa - k aa sh ii
आकाशीय, aa - k aa sh ii y @
आकिंचन, aa k i n c a n
आकिंचन्य, aa k i n c a n y @
आकुल, aa k u l
आकुलता, aa k u l @ t aa
आकुलित, aa k u l i t
आकृति, aa - k r i t i
आकृष्ट, aa - k r i sh tt
आक्रम, aa - k r a m
आक्रमण, aa - k r a m a n
आक्रमित, aa - k r a m i t
आक्रम्य, aa - k r a m y @
आक्रम्यता, aa - k r a m y @ t aa
आक्रांत, aa - k r aa n t
आक्रांति, aa - k r aa n t i
आक्रामक, aa - k r aa m a k
आक्रोश, aa - k r o sh
आक्षिप्त, aa - k sh i p t
आक्षेप, aa - k sh e p
आक्षेपक, aa - k sh e p a k
आक्षेपण, aa - k sh e p a n
आक्षेपी, aa - k sh e p ii
आखत, aa kh a t
आख़-थू, aa x - th uu
आखर, aa kh a r
आख़िर, aa x i r
आख़िरी, aa x i r ii
आखु, aa kh u
आखेट, aa - kh e tt
आखेटक, aa - kh e tt a k
आखेटिक, aa - kh e tt i k
आखेटी, aa - kh e tt ii
आख़ोर, aa x o r
आख्या, aa - kh y aa
आख्यात, aa - kh y aa t
आख्याता, aa - kh y aa t aa
आख्याति, aa - kh y aa t i
आख्यान, aa - kh y aa n
आख्यानक, aa - kh y aa n a k
आख्यानिक, aa - kh y aa n i k
आख्यापित, aa - kh y aa p i t
आगंतुक, aa g a n t u k
आग, aa g
आगत, aa - g a t
आगत, aa - g a t
आगति, aa - g a t i
आगम, aa - g a m
आगमन, aa - g a m a n
आगमित, aa - g a m i t
आगर, aa g a r
आगर, aa g a r
आगल, aa g a l
आगा, aa g aa
आग़ा, aa Gh aa
आगाध, aa - g aa dh
आग़ाज़, aa Gh aa z
आगामी, aa - g aa m ii
आगामी, aa g aa m ii
आगार, aa - g aa r
आगारी, aa g aa r ii
आगाह, aa g aa h
आगाही, aa g aa h ii
आगिल, aa g i l
आगी, aa g ii
आगुआ, aa g u aa
आगे, aa g e
आग़ोश, aa Gh o sh
आग्नेय, aa g n e y @
आग्रह, aa - g r a h
आग्रहण, aa - g r a h a n
आग्रहायण, aa g r a h aa y a n
आग्रही, aa - g r a h ii
आघात, aa - gh aa t
आघातक, aa - gh aa t a k
आघार, aa - gh aa r
आचमन, aa - c @ m a n
आचमनी, aa - c @ m a n ii
आचर-, aa - c a r -
आचरण, aa - c a r a n
आचरणीय, aa - c a r @ n ii y @
आचरित, aa - c a r i t
आचार, aa - c aa r
आचारिक, aa - c aa r i k
आचारी, aa - c aa r ii
आचार्य, aa - c aa r y @
आचार्या, aa - c aa r y aa
आचार्यानी, aa c aa r y aa n ii
आच्छन्न, aa - c ch a n n
आच्छादन, aa - c ch aa d a n
आच्छादित, aa - c ch aa d i t
आछ-, aa ch -
आज, aa j
आजन्म, aa - j a n m
आज़माइश, aa z m aa i sh
आज़माइशी, aa z m aa i sh ii
आज़माई, aa z m aa ii
आज़माना, aa z m aa n aa
आज़मूदा, aa z m uu d aa
आजा, aa j aa
आज़ाद, aa z aa d
आज़ादगी, aa z aa d g ii
आज़ादी, aa z aa d ii
आज़ार, aa z aa r
आजिज़, aa j i z
आजिज़ी, aa j i z ii
आजी, aa j ii
आजीवन, aa - j ii v a n
आजीविका, aa - j ii v i k aa
आजू-बाजू, aa j uu - b aa j uu
आज्ञप्प्ति, aa - g y @ p t i
आज्ञा, aa - g y aa
आज्ञान, aa - g y aa n
आज्ञापक, aa - g y aa p a k
आज्ञापित, aa - g y aa p i t
आज्ञ, aa g y @
आटना, aa tt n aa
आटा, aa tt aa
आटोप, aa tt o p
आठ, aa tth
आड, aa dd
आड़, aa rr
आडंबर, aa dd a m b a r
आडंबरी, aa dd a m b @ r ii
आड़ना, aa rr n aa
आड़ा, aa rr aa
आड़ी, aa rr ii
आड़ी, aa rr ii
आड़ी, aa rr ii
आड़ी-टेढ़ी, aa rr ii - tt e rrh ii
आड़ू, aa rr uu
आढ़, aa rrh
आढ़, aa rrh
आढ़त, aa rrh a t
आढ़तिया, aa rrh a t i y aa
आढ़ा, aa rrh aa
आढ़े, aa rrh e
आढय, aa ddh y @
आणविक, aa n @ v i k
आतंक, aa - t a ~ k
आतंकित, aa - t a ~ k i t
आत, aa t
-आत्, - aa t
आततायी, aa - t @ t aa y ii
आतप, aa - t a p
आतम, aa t a m
आतश, aa t a sh
आता, aa t aa
आतिथेय, aa t i th e y @
आतिथ्य, aa t i th y @
आतिश, aa t i sh
आतिशक, aa t i sh a k
आतिशी, aa t i sh ii
आती-पाती, aa t ii - p aa t ii
आतुर, aa - t u r
आतुरता, aa - t u r @ t aa
आतुरताई, aa - t u r @ t aa ii
आत्म-, aa t m -
-आत्मक, - aa t m a k
आत्मनेपद, aa t m a n e p a d
आत्मा, aa t m aa
आत्मिक, aa t m i k
आत्मिकता, aa t m i k @ t aa
आत्मिकी, aa t m i k ii
आत्मीय, aa t m ii y @
आत्मीयता, aa t m ii y @ t aa
आदत, aa d a t
आदतन, aa d a t a n
आदती, aa d @ t ii
आदम, aa d a m
आदमियत, aa d m i y a t
आदमी, aa d m ii
आदमीयत, aa d m ii y a t
आदर, aa - d a r
आदर-, aa - d a r -
आदरणीय, aa - d a r @ n ii y @
आदरा, aa d r aa
आदर्श, aa - d a r sh
आदर्शित, aa - d a r sh i t
आदर्शीकरण, aa - d a r sh ii k a r a n
आदा, aa d aa
आदान, aa - d aa n
आदाब, aa d aa b
आदि, aa d i
आदिक, aa d i k
आदित्य, aa d i t y @
आदिम, aa d i m
आदिल, aa d i l
आदी, aa d ii
आदी, aa d ii
आदेश, aa - d e sh
आदेशक, aa - d e sh a k
आदेशन, aa - d e sh a n
आदेशी, aa - d e sh ii
आद्य, aa d y @
आधा, aa dh aa
आधान, aa - dh aa n
आधार, aa - dh aa r
आधारित, aa - dh aa r i t
-आधारी, - aa - dh aa r ii
आधि, aa - dh i
आधि, aa - dh i
आधिकारिक, aa dh i k aa r i k
आधिक्य, aa dh i k y @
आधिपत्य, aa dh i p a t y @
आधीन, aa dh ii n
आधुनिक, aa dh u n i k
आधुनिकतम, aa dh u n i k @ t a m
आधुनिकता, aa dh u n i k @ t aa
आधुनीकरण, aa dh u n ii k a r a n
आध्यत्मिक, aa dh y aa t m i k
आध्यत्मिकता, aa dh y aa t m i k @ t aa
आन, aa n
आन, aa n
आन, aa n
आन, aa n
आन, aa n
-आन, - aa n
-आन, - aa n
आनंद, aa - n a n d
आनंद-, aa n a n d -
आनंदता, aa - n a n d @ t aa
आनंदित, aa - n a n d i t
आनंदी, aa - n a n d ii
आऩ-, aa n -
आनक, aa n a k
आनन, aa n a n
आनन-फ़ानन, aa n a n - f aa n a n
आनर्त, aa - n a r t
आना, aa n aa
आना, aa n aa
आना-, aa n aa -
-आना, - aa n aa
आनाकानी, aa n aa k aa n ii
-आनी, - aa n ii
आनुपातिक, aa n u p aa t i k
आनुपूर्व, aa n u p uu r v
आनुपूर्वी, aa n u p uu r v ii
आनुवंशिक, aa n u v a n sh i k
आनुषंगिक, aa n u sh a ng g i k
आनेयार, aa n e y aa r
आप, aa p
आप, aa p
आपत्, aa - p a t
आपत्ति, aa - p a t t i
आपत्य, aa p a t y @
आपद्, aa - p a d
आपदा, aa - p @ d aa
आपन, aa p a n
आपनिक, aa - p a n i k
आपनौ, aa p n O
आपन्न, aa - p a n n
आपराधिक, aa p @ r aa dh i k
आपस, aa p a s
आपा, aa p aa
-आपा, - aa p aa
आपात, aa - p aa t
आपानक, aa - p aa n a k
आपूर्ति, aa - p uu r t i
आपेक्षिक, aa p e k sh i k
आप्त, aa p t
आप्रवास, aa - p r a - v aa s
आप्रवासी, aa - p r a - v aa s ii
आप्लव, aa - p l a v
आप्लावन, aa - p l aa v a n
आप्लावित, aa - p l aa v i t
आप्लुत, aa - p l u t
आफ़त, aa f a t
आफ़ताब, aa f t aa b
आफ़ताबा, aa f t aa b aa
आफ़ताबी, aa f t aa b ii
आफ़रीन, aa f r ii n
आफ़ियत, aa f i y a t
आब, aa b
आबद्ध, aa - b a d dh
आबनूस, aa b n uu s
आबनूसी, aa b n uu s ii
आबरु, aa b r uu
आबाद, aa b aa d
-आबाद, - aa b aa d
आबादानी, aa b aa d aa n ii
आबादी, aa b aa d ii
आबी, aa b ii
आबेरवाँ, aa b e r @ v aa ~
आबोताब, aa b o t aa b
आबोदाना, aa b o d aa n aa
आबोहवा, aa b o h a v aa
आब्दिक, aa b d i k
आभरण, aa - bh a r a n
आभा, aa - bh aa
आभार, aa - bh aa r
आभारी, aa - bh aa r ii
आभास, aa - bh aa s
आभासित, aa - bh aa s i t
आभास्वर, aa - bh aa s v a r
आभीर, aa bh ii r
आभूषण, aa - bh uu sh a n
आभूषित, aa - bh uu sh i t
आभोग, aa - bh o g
आभोग्य, aa - bh o g y @
आमंत्रित, aa - m a n t r i t
आम, aa m
आम, aa m
आम, aa m
आमद, aa m a d
आमदनी, aa m d a n ii
आमदिया, aa m @ d i y aa
आमन, aa m a n
आमन, aa m a n
आमना-सामना, aa m n aa - s aa m n aa
आमनिया, aa m n i y aa
आमनिया, aa m n i y aa
आमय, aa m a y
आमर्ष, aa - m a r sh
आमलक, aa m @ l a k
आमला, aa m l aa
आमलिका, aa m @ l i k aa
आमात्य, aa m aa t y @
आमादा, aa m aa d aa
आमाल, aa m aa l
आमालक, aa m aa l a k
आमिल, aa m i l
आमिष, aa m i sh
आमीं, aa m ii ~
आमीन, aa m ii n
आमुख, aa - m u kh
आमूल, aa - m uu l
आमोख़्ता, aa m o x t aa
आमोद, aa - m o d
आमोदन, aa - m o d a n
आमोदित, aa - m o d i t
आम्र, aa m r @
आम्ल, aa m l
आय, aa y
आयँती-पायँती, aa y a n t ii - p aa y a n t ii
आयंदा, aa y a n d aa
आयत, aa y a t
आयत, aa - y a t
आयत, aa y a t
आयतन, aa - y a t a n
आयत्त, aa - y a t t
-आयन, - aa y a n
आयस, aa y a s
आया, aa y aa
आया, aa y aa
आया, aa y aa
आयात, aa - y aa t
आयातक, aa - y aa t a k
आयातित, aa - y aa t i t
आयाम, aa - y aa m
आयामन, aa - y aa m a n
आयास, aa - y aa s
आयासी, aa - y aa s ii
आयीता, aa y ii t aa
आयु, aa y u
आयुक्त, aa - y u k t
आयुध, aa - y u dh
आयुधीय, aa - y u dh ii y @
आयुर्-, aa y u r -
आयुष्-, aa y u sh -
आयुष्य, aa y u sh y @
आयोग, aa - y o g
आयोजक, aa - y o j a k
आयोजन, aa - y o j a n
आयोजना, aa - y o j @ n aa
आयोजित, aa - y o j i t
आरंभ, aa - r a m bh
आरंभक, aa r a m bh a k
आरंभिक, aa - r a m bh i k
आरंभी, aa - r a m bh ii
आर, aa r
आर, aa r
आर, aa r
आर, aa r
आरक्त, aa - r a k t
आरक्षक, aa - r a k sh a k
आरक्षण, aa - r a k sh a n
आरक्षा, aa - r a k sh aa
आरक्षित, aa - r a k sh i t
आरक्षी, aa - r a k sh ii
आरज, aa r a j
आरज़ा, aa r z aa
आऱज़ू, aa r z uu
आरण्य, aa r a n y @
आरण्यक, aa r a n y a k
आरती, aa r @ t ii
आर-पार, aa r - p aa r
आरभती, aa - r a bh @ t ii
आरव, aa - r a v
आरसी, aa r s ii
आरस्य, aa r a s y @
आरा, aa r aa
आराइश, aa r aa i sh
आराइशी, aa r aa i sh ii
आराति, aa r aa t i
आराध-, aa - r aa dh -
आराधक, aa - r aa dh a k
आराधन, aa - r aa dh a n
आराधना, aa - r aa dh @ n aa
आराधनीय, aa - r aa dh @ n ii y @
आराध्य, aa - r aa dh y @
आराम, aa r aa m
आराम, aa - r aa m
आरास्तगी, aa r aa s t a g ii
आरास्ता, aa r aa s t aa
आरीफ़, aa r i f
आरिया, aa r i y aa
आरी, aa r ii
आरी, aa r ii
आरूँधना, aa r uu n dh n aa
आरूढ़, aa - r uu rrh
आरोग्य, aa r o g y @
आरोग्यता, aa r o g y @ t aa
आरोप, aa - r o p
आरोपक, aa - r o p a k
आरोपण, aa - r o p a n
आरोपित, aa - r o p i t
आरोह, aa - r o h
आरोह-, aa - r o h -
आरोहण, aa - r o h a n
आरोहित, aa - r o h i t
आरोही, aa - r o h ii
आर्जव, aa r j a v
आर्त, aa r t
आर्ति, aa r t i
आर्थिक, aa r th i k
आर्द्र, aa r d r @
आर्द्रता, aa r d r @ t aa
आर्द्रा, aa r d r aa
आर्य, aa r y @
आर्ष, aa r sh
आलंग, aa l a ng g
आलंब, aa - l a m b
आलंबन, aa - l a m b a n
आल, aa l
आल, aa l
आल, aa l
आलकस, aa l k a s
अलक्षणी, a - l a k sh @ n ii
आलत, aa l a t
आलता, aa l t aa
आलन, aa l a n
आलपीन, aa l p ii n
आलबाल, aa l b aa l
आलम, aa l a m
आलमी, aa l @ m ii
आलय, aa l a y
आलस, aa l a s
आलसी, aa l s ii
आलसीपन, aa l s ii p a n
आलसीपना, aa l s ii p a n aa
आलस्य, aa l a s y @
आला, aa l aa
आला, aa l aa
आला, aa l aa
आला, aa l aa
आला, aa l aa
आला, aa l aa
आलात, aa l aa t
आलान, aa l aa n
आलाप, aa - l aa p
आलापक, aa - l aa p a k
आलापना, aa l aa p n aa
आलिंगन, aa - l i ng g a n
आलिंगित, aa - l i ng g i t
आलिंगी, aa - l i ng g ii
आलि, aa l i
आलिम, aa l i m
आली, aa l ii
आली, aa l ii
आली, aa l ii
आलू, aa l uu
आलू, aa l uu
आलूचा, aa l uu c aa
आलूदा, aa l uu d aa
आलेख, aa - l e kh
आलेप, aa - l e p
आलेपन, aa - l e p a n
आलोक, aa - l o k
आलोकन, aa - l o k a n
आलोकनीय, aa - l o k @ n ii y @
आलोचना, aa - l o c @ n aa
आलोचित, aa l o c i t
आलोच्य, aa - l o c y @
आलोड़न, aa - l o rr a n
आलोड़ना, aa l o rr n aa
आलोड़ित, aa - l o rr i t
आल्हा, aa l h aa
आवंटन, aa - v a n tt a n
-आव, - aa v
आव-, aa v -
आवक, aa v a k
आवज, aa v a j
-आवट, - aa v a tt
आवन, aa v a n
आवभगत, aa v bh a g a t
आवभाव, aa v - bh aa v
आवरण, aa - v @ r a n
आवर्जन, aa - v a r j a n
आवर्त, aa - v a r t
आवर्तक, aa - v a r t a k
आवर्तन, aa - v a r t a n
आवर्तित, aa - v a r t i t
आवर्ती, aa - v a r t ii
आवलि, aa v @ l i
आवली, aa v @ l ii
आवली, aa v l ii
आवली, aa v l ii
आवले, aa v l e
आवश्यक, aa v a sh y a k
आवश्यकता, aa v a sh y a k @ t aa
आवश्यकीय, aa v @ sh y @ k ii y @
आवा, aa v aa
आवा, aa v aa
-आवा, - aa v aa
आवागमन, aa v aa g a m a n
आवाज़, aa v aa z
आवाज़ा, aa v aa z aa
आवाती, aa v aa t ii
आवारगी, aa v aa r @ g ii
आवारा, aa v aa r aa
आवास, aa - v aa s
आवासन, aa - v aa s a n
आवासिक, aa - v aa s i k
आवासित, aa - v aa s i t
आवासी, aa - v aa s ii
आवासीय, aa - v aa s ii y @
आवाह-, aa v aa h -
आवाहन, aa - v aa h a n
आविर्भाव, aa v i r - bh aa v
आविर्भूत, aa v i r - bh uu t
आविल, aa v i l
आविष्करण, aa v i sh - k a r a n
आविष्कर्ता, aa v i sh - k a r t aa
आविष्कार, aa v i sh - k aa r
आविष्कारक, aa v i sh - k aa r a k
आविष्कारी, aa v i sh - k aa r ii
आविष्कृत, aa v i sh - k r i t
आविष्ट, aa - v i sh tt
आवृत, aa - v r i t
आवृत्त, aa - v r i t t
आवृत्ति, aa - v r i t t i
आवेग, aa - v e g
आवेज़ा, aa v e z aa
आवेदक, aa - v e d a k
आवेदन, aa - v e d a n
आवेश, aa - v e sh
आशंसा, aa - sh a n s aa
आशंकनीय, aa - sh a ~ k @ n ii y @
आशंका, aa - sh a ~ k aa
आशंकित, aa - sh a ~ k i t
आशना, aa sh n aa
आशनाई, aa sh n aa ii
आशय, aa - sh a y
आशा, aa sh aa
आशिक़, aa sh i q
आशिका़, aa sh i q aa
आशिका़ना, aa sh i q aa n aa
आशिकी़, aa sh i q ii
आशियाँ, aa sh i y aa ~
आशियाना, aa sh i y aa n aa
आशिष, aa - sh i sh
आशीर्वचन, aa - sh ii r v a c a n
आशीर्वाद, aa - sh ii r v aa d
आशीष, aa sh ii sh
आशु-, aa sh u -
आश्चर्य, aa sh c a r y @
आश्चार्यित, aa sh c a r y i t
आश्रम, aa - sh r a m
आश्रमी, aa - sh r a m ii
आश्रय, aa - sh r a y
आश्रयी, aa - sh r a y ii
आश्रित, aa - sh r i t
आश्लेष, aa - sh l e sh
आश्वस्त, aa - sh v a s t
आश्वास, aa - sh v aa s
आश्वासक, aa - sh v aa s a k
आश्वासन, aa - sh v aa s a n
आश्वासनीय, aa - sh v aa s @ n ii y @
आश्वासित, aa - sh v aa s i t
आश्वासी, aa - sh v aa s ii
आश्वास्य, aa - sh v aa s y @
आश्विन, aa sh v i n
आषाढ़, aa sh aa rrh
आसंग, aa - s a ng g
आस, aa s
-आस, - aa s
आसकत, aa s k a t
आसकताना, aa s k a t aa n aa
आसकती, aa s k a t ii
आसक्त, aa - s a k t
आसक्ति, aa - s a k t i
आसन, aa s a n
आसनी, aa s @ n ii
आसन्न, aa - s a n n
आस-पास, aa s - p aa s
आसमान, aa s m aa n
आसमानी, aa s m aa n ii
आसरतू, aa s a r t uu
आस़रा, aa s r aa
आसरैत, aa s r E t
आसव, aa - s a v
आसवन, aa - s a v a n
आसवनी, aa - s a v @ n ii
आसवित, aa - s a v i t
आसा, aa s aa
आसान, aa s aa n
आसानी, aa s aa n ii
आसाम, aa s aa m
आसामी, aa s aa m ii
आसामी, aa s aa m ii
आसामी, aa s aa m ii
आसार, aa s aa r
आसावरी, aa s aa v @ r ii
आसिन, aa s i n
आसीन, aa s ii n
आसीस, aa s ii s
आसीस-, aa s ii s -
आसुर, aa s u r
आसुरी, aa s u r ii
आसुरी, aa s u r ii
आसोज, aa s o j
आस्तान, aa s t aa n
आस्तिक, aa s t i k
आस्तिकता, aa s t i k @ t aa
आस्तिक्य, aa s t i k y @
आस्ति, aa s t i
आस्तीन, aa s t ii n
आस्ते, aa s t e
आस्त्र, aa s t r @
आस्थगन, aa - s th a g a n
आस्था, aa - s th aa
आस्थान, aa - s th aa n
आस्थानी, aa - s th aa n ii
आस्थापन, aa - s th aa p a n
आस्थित, aa - s th i t
आस्पद, aa - s p a d
आस्त्रताई, aa s r a t aa ii
आस्वाद, aa - s v aa d
आस्वादन, aa - s v aa d a n
आस्वादनीय, aa - s v aa d @ n ii y @
आस्वादित, aa - s v aa d i t
आह, aa h
आहक, aa h a k
आहट, aa h a tt
-आहट, - aa h a tt
आहत, aa - h a t
आहन, aa h a n
आहन, aa h a n
आहनी, aa h @ n ii
आहर, aa h a r
आहर, aa h a r
आहर-जाहर, aa h a r - j aa h a r
आहल, aa h a l
आहला, aa h l aa
आहलाना, aa h l aa n aa
आहार, aa - h aa r
आहारी, aa - h aa r ii
आहार्य, aa - h aa r y @
आहिस्तगी, aa h i s t a g ii
आहिस्ता, aa h i s t aa
आहुति, aa - h u t i
आह्निक, aa h n i k
अह्लाद, aa - h l aa d
आह्लादक, aa - h l aa d a k
आह्लादित, aa - h l aa d i t
आह्लादी, aa - h l aa d ii
आह्वान, aa - h v aa n
इ, i
इंगलिसिया, i ng g l i s i y aa
इंगलिस्तान, i ng g l i s t aa n
इंगित, i ng g i t
इंग्लिस्तान, i ng g l i s t aa n
इंग्लिस्तानी, i ng g l i s t aa n ii
इंच, i n c
इँचना, i n c n aa
इँचाव, i n c aa v
इंजन, i n a n
इंजबार, i n b aa r
इंजर-पिंजर, i n a r - p i n a r
इंजीनियर, i n ii n i y a r
इंजीनियरी, i n ii n i y a r ii
इंजील, i n ii l
इँड़ुआ, i ~ rr u aa
इंतका़म, i n t a q aa m
इंतका़ल, i n t a q aa l
इंतखा़ब, i n t a x aa b
इंतज़ाम, i n t a z aa m
इंतज़ार, i n t a z aa r
इंतज़ारी, i n t a z aa r ii
इंतहा, i n t a h aa
इंतहाई, i n t a h aa ii
इंतिका़ल, i n t i q aa l
इंतिखा़ब, i n t i x aa b
इंतिज़ाम, i n t i z aa m
इंतिज़ार, i n t i z aa r
इंतिहा, i n t i h aa
इँदारा, i n d aa r aa
इंदिरा, i n d i r aa
इंदीवर, i n d ii v a r
इंदु, i n d u
इंदुर, i n d u r
इंद्र, i n d r @
इंद्राणी, i n d r aa n ii
इंद्रायन, i n d r aa y a n
इंद्रिय, i n d r i y @
इंद्री, i n d r ii
इंधन, i n dh a n
इंसाफ़, i n s aa f
-इ, - i
-इक, - i k
इक-, i k -
इकट्ठा, i k a tt tth aa
इकतालीस, i k t aa l ii s
इकत्तीस, i k a t t ii s
इक़दाम, i q d aa m
इक़बाल, i q b aa l
इक़बालिया, i q b aa l i y aa
इक़बाली, i q b aa l ii
इकराम, i k r aa m
इक़रार, i q r aa r
इक़रारी, i q r aa r ii
इकलाई, i k l aa ii
इकलाई, i k l aa ii
