कूँच,kūṁc
कूँच,kūṁc
कूँचा,kūṁcā
कूँची,kūṁcī
कूँज,kūṁj
कूँड़ा,kūṁṛā
कूँड़ी,kūṁṛī
कूँथना,kūṁthnā
कूई,kūīṁ
कूक,kūk
कूक,kūk
कूकड़ी,kūkṛī
कूकना,kūknā
कूकना,kūknā
कूकर,kūkar
कूकाहट,kūkāhaṭ
कूकू,kūkū
कूच,kūc
कूचा,kūcā
कूचिया,kūciyā
कूची,kūcī
कूजन,kūjan
कूजना,kūjnā
कूज़ा,kūzā
कूट,kūṭ
कूट,kūṭ
कूटना,kūṭnā
कूटी,kūṭī
कूड़ा,kūṛā
कूढ़,kūṛh
कूत,kūt
कूतना,kūtnā
कूद,kūd
कूदना,kūdnā
कूप,kūp
कूपी,kūpī
कूबड़,kūbaṛ
कूबड़ा,kūbṛā
कूम्हल,kūmhal
कूर,kūr
कूर,kūr
कूर्म,kūrm
कूल,kūl
कूला,kūlā
कूला,kūlā
कूल्हा,kūlhā
कुवत,kūvat
कूहड़,kūhaṛ
कुच्छ,kr̥cch
कुच्छ्र,kr̥cchră
कृत,kr̥t
कृतक,kr̥tak
कृति,kr̥ti
कृती,kr̥tī
कृते,kr̥te
कृत्तिका,kr̥ttikā
कृत्य,kr̥tyă
कृत्या,kr̥tyā
कृत्रिम,kr̥trim
कृत्रिमता,kr̥trimătā
कृदंत,kr̥dant
कृदंती,kr̥dantī
कृदंतीय,kr̥dantīyă
कृपण,kr̥paṇ
कृपणता,kr̥paṇătā
कृपया,kr̥payā
कृपा,kr̥pā
कृपाण,kr̥pāṇ
कृपाणी,kr̥pāṇī
कृपालु,kr̥pālu
कृपालुता,kr̥pālutā
कृमि,kr̥mi
कृमिल,kr̥mil
कृमी,kr̥mī
कृश,kr̥ś
कृशता,kr̥śătā
कृशानु,krśānu
कृशित,kr̥śit
कृषि,kr̥ṣi
कृषी,kr̥ṣī
कृष्ट,kr̥ṣṭ
कृष्ण,kr̥ṣṇ
कृष्णता,kr̥ṣṇătā
कृष्णत्व,kr̥ṣṇatvă
कृष्णा,kr̥ṣṇā
केंकड़ा,keṁkṛā
केंकें,keṁkeṁ
केंचुआ,keṁcuā
केंचुल,keṁcul
केंचुली,keṁculī
केंद्र,kendră
केंद्रीत,kendrit
केंद्रीकरण,kendrīkaraṇ
केंद्रीकृत,kendrīkr̥t
केंद्रीय,kendrīyă
केउ,keu
केकड़ा,kekṛā
केका,kekā
केकिनी,kekinī
केकी,kekī
केड़ा,keṛā
केत,ket
केतकी,ketăkī
केतन,ketan
केतली,ketlī
केतिक,ketik
केतु,ketu
केदार,kedār
केबिस,kebis
केयूर,keyūr
केर,ker
केराव,kerāv
केला,kelā
केलि,keli
केवट,kevaṭ
केवड़ा,kevṛā
केवल,keval
केवली,kevălī
केवाँच,kevāṁc
केवाँछ,kevāṁch
केवाड़ी,kevāṛī
केवार,kevār
केश,keś
केशर,keśar
केशव,keśav
केशी,keśī
केसर,kesar
केसरिया,kesriyā
केसरी,kesărī
केसरी,kesrī
केहरी,kehărī
केहुनी,kehunī
कैंड़ा,kaiṁṛā
क़ैची,qaiṁcī
क़ै,qai
कै,kai
कै,kai
कै,kai
कै,kai
कैटभ,kaiṭabh
कैथ,kaith
कैथी,kaithī
क़ैद,qaid
क़ैदिन,qaidin
क़ैदी,qaidī
कैन,kain
कैफ़ियत,kaifiyat
कैरव,kairav
कैरा,kairā
कैरी,kairī
कैरु,kairu
कैल,kail
कैलाश,kailāś
कैलास,kailās
कैली,kailī
कैवल्य,kaivalyă
क़ैसर,qaisar
कैसा,kaisā
कोंच,koṁc
कोंचना,koṁcnā
कोंछना,koṁchnā
कोंढ़ा,koṁṛhā
कोंढ़ा,koṁṛhā
कोंत,koṁt
कोंपल,koṁpal
कोंपली,koṁplī
कोंहड़ा,koṁhṛā
को,ko
को,ko
को,ko
कोई,koī
कोई,koī
कोउ,kou
कोक,kok
कोक,kok
कोकटी,kokṭī
कोकनी,koknī
कोका,kokā
कोकाह,kokāh
कोकिल,kokil
कोकिला,kokilā
कोका,koko
कोख,kokh
कोखा,kokhā
कोचना,kocnā
कोट,koṭ
कोट,koṭ
कोटपीस,koṭpīs
कोटर,koṭar
कोटला,koṭlā
कोटवाल,koṭvāl
कोटा,koṭā
कोटि,koṭi
कोटिक,koṭik
कोठ,koṭh
कोठरी,koṭhrī
कोठा,koṭhā
कोठार,koṭhār
कोठारी,koṭhārī
कोठी,koṭhī
कोडंड,koḍaṇḍ
कोड़ना,koṛnā
कोड़ा,koṛā
कोड़ाई,koṛāī
कोड़ाना,koṛānā
कोड़ी,koṛī
कोढ़,koṛh
कोढ़िन,koṛhin
कोढ़ि,koṛhī
कोण,koṇ
कोणिक,koṇik
कोणीय,koṇīyă
कोतल,kotal
कोतवाल,kotvāl
कोतवाली,kotvālī
कोताह,kotāh
कोताही,kotāhī
कोथमीर,kothmīr
कोथला,kothlā
कोथली,kothlī
कोदंड,kodaṇḍ
कोदों,kodoṁ
कोदो,kodo
कोना,konā
कोप,kop
कोप,kop
कोपल,kopal
कोपित,kopit
कोपी,kopī
कोपी,kopī
कोफ़्त,koft
कोफ़्ता,koftā
कोब,kob
कोबी,kobī
कोमल,komal
कोमलता,komalătā
कोमलताई,komalătāī
कोयर,koyar
कोयरी,koyrī
कोयल,koyl
कोयला,koylā
कोया,koyā
कोर,kor
कोर,kor
कोर,kor
कोरक,korak
क़ोरमा,qormā
कोरा,korā
कोरापन,korāpan
कोरी,korī
कोरैया,koraiyā
कोरो,koro
कोर्ट,korṭ
कोल,kol
कोल,kol
कोल,kol
कोल,kol
कोलतार,koltār
कोला,kolā
कोला,kolā
कोलाहल,kolāhal
कोलाहली,kolāhălī
कोलिन,kolin
कोलिया,koliyā
कोलियाना,koliyānā
कोली,kolī
कोल्हाड़,kolhāṛ
कोल्हू,kolhū
कोविद,kovid
कोविदार,kovidār
कोश,koś
कोशिका,kośikā
कोशिश,kośiś
कोष,koṣ
कोष्ठ,koṣṭh
कोष्ठक,koṣṭhak
कोस,kos
कोसन,kosan
कोसना,kosnā
कोसली,koslī
कोसा,kosā
कोसा,kosā
कोसा,kosā
कोफ़्त,koft
कोह,koh
कोह,koh
कोह,koh
कोहड़,kohaṛ
कोहनी,kohnī
कोहर,kohar
कोहरा,kohrā
कोहराना,kohrānā
कोहराम,kohrām
कोहा,kohā
कोहान,kohān
कोही,kohī
कोही,kohī
कोही,kohī
कौं,kauṁ
कौंचा,kauṁcā
कौंदना,kauṁdnā
कौंध,kauṁdh
कौंधना,kauṁdhnā
कौंधा,kauṁdhā
कौंला,kauṁlā
कौंसिल,kauṁsil
कौटुंबिक,kauṭumbik
कौड़ा,kauṛā
कौड़ियाला,kauṛiyālā
कौड़िल्ला,kauṛillā
कौड़ी,kauṛī
कौणप,kauṇap
कौतुक,kautuk
कौतुकी,kautukī
कौतूहल,kautūhal
कौन,kaun
कौपीन,kaupīn
क़ौम,qaum
कौमार,kaumār
कौमार्य,kaumāryă
क़ौमियत,qaumiyat
क़ौमी,qaumī
कौमुदी,kaumudī
कौमोदकी,kaumodăkī
कौर,kaur
कौरव,kaurav
कौरा,kaurā
क़ौल,qaul
कौल,kaul
कौल,kaul
कौली,kaulī
कौवा,kauvā
क़ौवाल,qauvāl
क़ौवाली,qauvālī
कौश,kauś
कौशल,kauśal
कौशल्या,kauśalyā
कौशेय,kauśey
कौस्तुभ,kaustubh
क्या,kyā
क्यारी,kyārī
क्यों,kyoṁ
क्योंकर,kyoṁkar
क्योंकि,kyoṁki
क्योके,kyoṁke
क्योंड़ा,kyoṛā
क्रंदन,krandan
क्रकच,krakac
क्रम,kram
क्रम,kram
क्रव्य,kravyă
क्रय,kray
क्रांत,krānt
क्रांति,krānti
क्रांति,krānti
क्रिया,kriyā
क्रिस्तान,kristān
क्रीस्तानी,kristānī
क्रीट,krīṭ
क्रिड़ा,krīṛā
क्रीडितृ,krīḍitr̥
क्रीत,krīt
क्रुद्ध,kruddh
क्रूर,krūr
क्रूर,krūr
क्रूरता,krūrătā
क्रूस,krūs
क्रेता,kretā
क्रोड,kroḍ
क्रोड़,kroṛ
क्रोध,krodh
क्रोधन,krodhan
क्रोधित,krodhit
क्रोधी,krodhī
क्रोश,kroś
क्रौंच,krauṁc
क्लर्की,klarkī
क्लांत,klānt
क्लांति,klānti
क्लास,klās
क्लासिकी,klāsikī
क्लिष्ट,kliṣṭ
क्लिष्ठता,kliṣṭhătā
क्लीव,klīv
क्लीवता,klīvătā
क्लेश,kleś
क्लेशित,kleśit
क्लैव्य,klaivyă
क्वणित,kvaṇit
क्वाँरा,kvāṁrā
क्वाँरी,kvāṁrī
क्वाथ,kvāth
क्वार,kvār
क्वारछल,kvārchal
क्वारपना,kvārpanā
क्वारा,kvārā
क्वारापन,kvārāpan
क्षण,kṣaṇ
क्षणिक,kṣaṇik
क्षत,kṣat
क्षति,kṣati
क्षत्राणी,kṣatrāṇī
क्षत्रिय,kṣatriyă
क्षत्रियता,kṣatriyătā
क्षपा,kṣapā
क्षम,kṣam
क्षमता,kṣamătā
क्षमा,kṣamā
क्षमित,kṣamit
क्षमी,kṣamī
क्षम्य,kṣamyă
क्षय,kṣay
क्षयिष्णु,kṣayiṣṇu
क्षयी,kṣayī
क्षर,kṣar
क्षरण,kṣaraṇ
क्षांत,kṣānt
क्षांति,kṣānti
क्षात्र,kṣātr
क्षार,kṣār
क्षारक,kṣārak
क्षिति,kṣiti
क्षिप्र,kṣipră
क्षीण,kṣīṇ
क्षीणता,kṣīṇătā
क्षीयमाण,kṣīyămāṇ
क्षीर,kṣīr
क्षुद्र,kṣudră
क्षुद्रता,kṣudrătā
क्षुधा,kṣudhā
क्षुधालु,kṣudhālu
क्षुधित,kṣudhit
क्षुब्ध,kṣubdh
क्षुर,kṣur
क्षेत्र,kṣetr
क्षेत्रीय,kṣetrīyă
क्षेप,kṣep
क्षेपक,kṣepak
क्षेपण,kṣepaṇ
क्षेम,kṣem
क्षोभ,kṣobh
क्षौर,kṣaur
ख,kha
खँख,khaṁkh
खँखड़,khaṁkhaṛ
खँखार,khaṁkhār
खँखारना,khaṁkhārnā
खंग,khaṅg
खंगड़,khaṅgaṛ
खँगालना,khaṁgālnā
खँचिया,khaṁciyā
खंजन,khañan
ख़ंजर,ḵẖañar
ख़ंजरी,ḵẖañărī
ख़ंजरी,ḵẖañărī
खंड,khaṇḍ
खंड,khaṇḍ
खंडन,khaṇḍan
खंडनीय,khaṇḍănīyă
खंडर,khaṇḍar
खँड़र,khaṁṛar
खँडरा,khaṁḍrā
खंडरीच,khaṁḍărīc
खंडहर,khaṇḍhar
खँड़हर,khaṁṛʾhar
खंडा,khaṇḍā
खंडित,khaṇḍit
खंडिता,khaṇḍitā
ख़ंदक,ḵẖandaq
ख़ंदाँ,ḵẖandāṁ
खंधक,khandhak
खंबा,khambā
खंभा,khambhā
खंभार,khambhār
खँभार,khaṁbhār
खकारना,khakārnā
खक्खा,khakkhā
खखार,khakhār
खंखोलना,khakholnā
खग,khag
खगहा,khagʾhā
खगोल,khagol
खगोलक,khagolak
खग्ग,khagg
खचखच,khackhac
खचड़ा,khacṛā
खचना,khacnā
खचना,khacnā
खचरखचर,khacarkhacar
ख़चरख़चर,ḵẖacarḵẖacar
खचित,khacit
खचेड़ना,khaceṛnā
ख़च्चर,ḵẖaccar
खजला,khajlā
ख़ज़ानची,ḵẖazāncī
ख़जा़ना,ḵẖazānā
खजुरा,khajurā
खजूर,khajūr
खजूरा,khajūrā
खजूरा,khajūrā
खजूरी,khajūrī
खट,khaṭ
खट,khaṭ
खट,khaṭ
खट,khaṭ
खटक,khaṭak
खटकना,khaṭaknā
खटका़,khaṭkā
खटकाना,khaṭkānā
खटखटाना,khaṭkhaṭānā
खटना,khaṭnā
खटरिया,khaṭariyā
खटला,khaṭlā
खटवाँस,khaṭvāṁs
खटवाट,khaṭvāṭ
खटवारी,khaṭvārī
खटाई,khaṭāī
खटाक,khaṭāk
खटाका,khaṭākā
खटाना,khaṭānā
खटाना,khaṭānā
खटास,khaṭās
खटास,khaṭās
खटिक,khaṭik
खटिका,khaṭikā
खटिया,khaṭiyā
खटीक,khaṭīk
खटोलना,khaṭolnā
खटोला,khaṭolā
खट्टा,khaṭṭā
खट्टापन,khaṭṭāpan
खट्टिक,khaṭṭik
खट्ट,khaṭṭū
खड्ग,khaḍgă
खड़,khaṛ
खड़ंक,khaṛaṅk
खड़ंख,khaṛaṅkh
खड़ंजा,khaṛañā
खड़क,khaṛak
खड़क,khaṛak
खड़कना,khaṛaknā
खड़का,khaṛkā
खड़का,khaṛkā
खड़काना,khaṛkānā
खड़खड़,khaṛkhaṛ
खड़खड़ाना,khaṛkhaṛānā
खड़खड़ाहट,khaṛkhaṛāhaṭ
खड़खड़िया,khaṛkhaṛiyā
खड़ग,khaṛag
खड़बड़,khaṛbaṛ
खड़बड़ा,khaṛbaṛā
खड़बड़ाना,khaṛbaṛānā
खड़बड़ाहट,khaṛbaṛāhaṭ
खड़मंडल,khaṛmaṇḍal
खड़ल,khaṛal
खड़सान,khaṛsān
खड़ा,khaṛā
खड़ाऊँ,khaṛāūṁ
खड़ाका,khaṛākā
खड़ापन,khaṛāpan
खड़िया,khaṛiyā
खड़िया,khaṛiyā
खड़ुवा,khaṛuvā
खड्ग,khaḍgă
खड्गी,khaḍgī
खड्ड,khaḍḍ
खड्डा,khaḍḍā
ख़त,ḵẖat
ख़तना,ḵẖatnā
ख़तम,ḵẖatm
ख़तरनाक,ḵẖatarnāk
ख़तरा,ḵẖatrā
ख़ता,ḵẖatā
खतियाना,khatiyānā
खतौनी,khataunī
खत्तरी,khattrī
खत्ता,khattā
खत्ती,khattī
ख़त्म,ḵẖatm
खत्रानी,khatrānī
खत्री,khatrī
खदखदाना,khadkhadānā
खदबद,khadbad
खदबदाना,khadbadānā
खदरबदर,khadarbadar
खदान,khadān
खदिर,khadir
खदेड़,khadeṛ
खदेड़ना,khadeṛnā
खदेरना,khadernā
खद्दर,khaddar
खद्योत,khadyot
खन,khan
खन,khan
खन,khan
खनक,khanak
खनकना,khanaknā
खनकाना,khankānā
खनकार,khankār
खनखनाना,khankhanānā
ख़नख़नाना,ḵẖanḵẖanānā
खनकौआ,khankauā
खनता,khantā
खनती,khantī
खनन,khanan
खनना,khannā
खनिज,khanij
खनी,khanī
खपचा,khapcā
खपची,khapcī
खपच्ची,khapaccī
खपड़ा,khapṛā
खपड़ैल,khapṛail
खपत,khapat
खपती,khaptī
खपना,khapnā
खपरैल,khaprail
खपाच,khapāc
खपाट,khapāṭ
खपाना,khapānā
खपाव,khapāv
खप्पर,khappar
ख़फ़गी,ḵẖafgī
ख़फ़ा,ḵẖafā
ख़बर,ḵẖabar
ख़बीस,ḵẖabīs
ख़ब्त,ḵẖabt
ख़ब्ती,ḵẖabtī
खब्बा,khabbā
खभार,khabhār
ख़म,ḵẖam
खमस,khamas
ख़मियाजा़,ḵẖamiyāzā
ख़मी,ḵẖamī
ख़मीर,ḵẖamīr
ख़मीरा,ḵẖamīrā
ख़मोश,ḵẖamoś
ख़मोशी,ḵẖamośī
खम्माच,khammāc
खम्माज,khammāj
खम्हाउर,khamhāur
ख़यानत,ḵẖayānat
ख़याल,ḵẖayāl
ख़यालात,ḵẖayālāt
ख़याली,ḵẖayālī
ख़र,ḵẖar
खर,khar
खर,khar
खर,khar
खरका,kharkā
ख़रख़र,ḵẖarḵẖar
खराखरा,kharkharā
ख़रख़रा,ḵẖarḵẖarā
ख़रख़शा,ḵẖarḵẖaśā
ख़रगोश,ḵẖargoś
ख़रच,ḵẖarc
खरछरा,kharcharā
खरतल,khartal
खरपा,kharpā
खरपा,kharpā
खरब,kharb
ख़रबूजा़,ḵẖarbūzā
ख़रबूजी़,ḵẖarbūzī
खरभर,kharbhar
खरल,kharal
खरसान,kharsān
खरसैला,kharsailā
खरहक,kharhak
खरहरा,kharahrā
खरहा,kharhā
खरहारना,kharhārnā
खरही,kharhī
खरा,kharā
खराई,kharāī
ख़राद,ḵẖarād
ख़रादना,ḵẖarādnā
ख़रादी,ḵẖarādī
खरापन,kharāpan
ख़राब,ḵẖarāb
ख़राबी,ḵẖarābī
ख़रामाँ,ḵẖarāmāṁ
ख़राश,ḵẖarāś
ख़राशना,ḵẖarāśnā
खराहंद,kharāhand
खरिका,kharikā
खरिहान,kharihān
खऱी,kharī
ख़रीता,ḵẖarītā
ख़रीद,ḵẖarīd
ख़रीदना,ḵẖarīdnā
ख़रीदार,ḵẖarīdār
ख़रीदारी,ḵẖarīdārī
ख़रीफ़,ḵẖarīf
ख़रीफ़ी,ḵẖarīfī
खरोंच,kharoṁc
खरोंचना,kharoṁcnā
खरोंट,kharoṁṭ
खरोंटना,kharoṁṭnā
खरोचना,kharocnā
खरोटना,kharoṭnā
ख़र्चं,ḵẖarc
ख़र्चना,ḵẖarcnā
ख़र्चा,ḵẖarcā
ख़र्ची,ḵẖarcī
ख़र्चीला,ḵẖarcīlā
ख़र्चू,ḵẖarcū
खर्जूर,kharjūr
खर्ब,kharb
खर्व,kharv
खर्रा,kharrā
खर्रट,kharraṭ
खर्राटा,kharrāṭā
खलंगा,khalaṅgā
खल,khal
खल,khal
ख़लक़,ḵẖalq
खलखल,khalkhal
खलखलाना,khalkhalānā
खलडी़,khalṛī
खलता,khalătā
खलना,khalnā
खलबल,khalbal
खलबलाना,khalbalānā
खलबलाहट,khalbalāhaṭ
खलबली,khalbalī
ख़लल,ḵẖalal
खलसा,khalsā
खला,khalā
खलाना,khalānā
खलार,khalār
ख़लास,ḵẖalās
ख़लासी,ḵẖalāsī
ख़लासी,ḵẖalāsī
खलियान,khaliyān
खलियाना,khaliyānā
ख़लिश,ḵẖaliś
खलिहान,khalihān
खली,khalī
ख़लीज,ḵẖalīj
ख़लीफा,ḵẖalīfā
खलु,khalu
खलेटी,khaleṭī
खलेल,khalel
खल्लड़,khallaṛ
खल्ला,khallā
ख़ल्लासी,ḵẖallāsī
खल्वाट,khalvāṭ
खवा,khavā
ख़वातीन,ḵẖavātīn
खवाना,khavānā
ख़वास,ḵẖavās
ख़वासी,ḵẖavāsī
खवैया,khavaiyā
ख़शख़श,ḵẖaśḵẖaś
ख़स,ḵẖas
खस,khas
खसकंत,khaskant
खसकना,khasaknā
खसकाना,khaskānā
खसखस,khaskhas
खसखस,khaskhas
खसखसा,khaskhasā
खसखसी,khaskhasī
ख़सम,ḵẖasm
ख़सरा,ḵẖasrā
खसरा,khasrā
ख़सी,ḵẖasī
ख़सीस,ḵẖasīs
खसोट,khasoṭ
खसोटना,khasoṭnā
ख़स्तगी,ḵẖastagī
ख़स्ता,ḵẖastā
ख़स्सी,ḵẖassī
ख़ाँ,ḵẖāṁ
खाँखर,khāṁkhar
खाँग,khāṁg
खाँच,khāṁc
खाँचना,khāṁcnā
खाँचना,khāṁcnā
खाँचा,khāṁcā
खाँचा,khāṁcā
खाँड़,khāṁṛ
खाँड़,khāṁṛ
खाँड़ा,khāṁṛā
खाँटी,khāṁṭī
खाँप,khāṁp
खाँसी,khāṁsī
खाई,khāī
खाऊ,khāū
ख़ाक,ḵẖāk
ख़ाका,ḵẖākā
खा़की,ḵẖākī
खाखर,khākhar
खाखर,khākhar
खाज,khāj
खाजा,khājā
खाट,khāṭ
खाड़ी,khāṛī
खात,khāt
खाता,khātā
खा़तिर,ḵẖātir
खाती,khātī
खा़तून,ḵẖātūn
खाद,khād
खाद,khād
खादर,khādar
खादर,khādar
खा़दिम,ḵẖādim
खा़दिमा,ḵẖādimā
खादी,khādī
खाद्य,khādyă
खान,khān
ख़ान,ḵẖān
खानक,khānak
ख़ानगी,ḵẖāngī
ख़ानदान,ḵẖāndān
ख़ानदानी,ḵẖāndānī
खानपान,khānpān
खानवाँ,khānvāṁ
ख़ानसामाँ,ḵẖānsāmāṁ
ख़ानसामा,ḵẖānsāmā
खाना,khānā
ख़ाना,ḵẖānā
खानि,khāni
खाप,khāp
खाप,khāp
खापट,khāpaṭ
ख़ाब,ḵẖāb
खाबड़,khābaṛ
खाम,khām
ख़ाम,ḵẖām
ख़ामी,ḵẖāmī
ख़ामोश,ḵẖāmoś
ख़ामोशी,ḵẖāmośī
ख़ार,ḵẖār
खार,khār
खार,khār
खारा,khārā
खारापन,khārāpan
ख़ारिज,ḵẖārij
ख़ारिश,ḵẖāriś
खारी,khārī
खारीपन,khārīpan
खारुआ,khāruā
खाल,khāl
खाल,khāl
ख़ालसा,ḵẖālsā
खाला,khālā
ख़ाला,ḵẖālā
ख़ालिक़,ḵẖāliq
ख़ालिस,ḵẖālis
ख़ाली,ḵẖālī
ख़ाविंद,ḵẖāvind
खास,khās
ख़ास,ḵẖās
ख़ासकर,ḵẖāskar
ख़ासा,ḵẖāsā
ख़ासियत,ḵẖāsiyat
ख़ाहमख़ाह,ḵẖāhmăḵẖāh
ख़ाहिश,ḵẖāhiś
खिंच,khiṁc
खिंचना,khiṁcnā
खिंचवाई,khiṁcvāī
खिंचवाना,khiṁcvānā
खिंचाई,khiṁcāī
खिंचाव,khiṁcāv
खिंचावट,khiṁcāvaṭ
खिंडना,khiṇḍnā
खिंडवाना,khiṇḍvānā
खिंडाना,khiṁḍānā
खिचड़ा,khicṛā
खिचड़ी,khicṛī
खिचना,khicnā
खिचवाई,khicvāī
खिचवाना,khicvānā
खिचाना,khicānā
खिजना,khijnā
खिजलाना,khijlānā
खिजलाहट,khijlāhaṭ
ख़िज़ाँ,ḵẖizāṁ
खिजाना,khijānā
ख़िज़ाब,ḵẖizāb
खिजावट,khijāvaṭ
खिझना,khijhnā
खिझाना,khijhānā
खिड़की,khiṛkī
ख़िताब,ḵẖitāb
ख़िताबी,ḵẖitābī
ख़िदमत,ḵẖidmat
ख़िदमती,ḵẖidmatī
खिन्न,khinn
खिन्नता,khinnătā
खियाना,khiyānā
खियाना,khiyānā
खिरनी,khirnī
ख़िराज,ḵẖirāj
खिरिसा,khirisā
खिलक्कड़,khilakkaṛ
खिलखिल,khilkhil
खिलखिलाना,khilkhilānā
खिलखिलाहट,khilkhilāhaṭ
ख़िलअत,ḵẖilʾat
खिलना,khilnā
खिलवाड़,khilvāṛ
खिलवाडी़,khilvāṛī
खिलवाना,khilvānā
खिलवाना,khilvānā
खिलवाना,khilvānā
खिलाई,khilāī
खिलाऊ,khilāū
खिलाड़िन,khilāṛin
खिलाड़ी,khilāṛī
खिलाड़ीपन,khilāṛīpan
खिलाना,khilānā
खिलाना,khilānā
खिलाना,khilānā
ख़िलाफ़,ḵẖilāf
ख़िलाफ़त,ḵẖilāfat
खिलौना,khilaunā
खिल्ली,khillī
खिल्ली,khillī
खिसकना,khisaknā
खिसकाना,khiskānā
खिसकू,khiskū
खिसा,khisā
खिसा,khisā
खिसारी,khisārī
खिसियानपट,khisiyānpaṭ
खिसियानपन,khisiyānpan
खिसियाना,khisiyānā
खिसियाहट,khisiyāhaṭ
खींच,khīṁc
खींचना,khīṁcnā
खिचना,khīcnā
खीज,khīj
खीजना,khījnā
खीझ,khījh
खीझना,khījhnā
खीर,khīr
खीरा,khīrā
खीरी,khīrī
खील,khīl
खील,khīl
खीली,khīlī
खीस,khīs
खीस,khīs
खीसा,khīsā
खुँडला,khuṁḍlā
खुँदलना,khuṁdalnā
खुंबी,khumbī
खुंभी,khumbhī
खुंभी,khumbhī
खुखरी,khukhrī
खुक्खल,khukkhal
खुचर,khucar
खुजलाना,khujlānā
खुजलाहट,khujlāhaṭ
खुजली,khujlī
खुजवाना,khujvānā
खुजाना,khujānā
खुट,khuṭ
खुटक,khuṭak
खुटक,khuṭak
खुटकना,khuṭaknā
खुटका,khuṭkā
खुटचाल,khuṭcāl
खुटाई,khuṭāī
खुटीला,khuṭilā
खुड़खुड़,khuṛkhuṛ
खुड्डी,khuḍḍī
ख़ुतबा,ḵẖutbā
ख़ुतूत,ḵẖutūt
ख़ुद,ḵẖud
खुदना,khudnā
खुदनी,khudnī
खुदरा,khudrā
ख़ुदरा,ḵẖudrā
खुदवाई,khudvāī
खुदवाना,khudvānā
ख़ुदा,ḵẖudā
खुदाई,khudāī
ख़ुदाई,Khudāī
खुदाना,khudānā
ख़ुदावंद,ḵẖudāvand
खुदावट,khudāvaṭ
ख़ुदी,ḵẖudī
खुद्दी,khuddī
खुधा,khudhā
ख़ुनकी,ḵẖunkī
खुनखुना,khunkhunā
खुनस,khuns
खुनसाना,khunsānā
खुनसी,khunsī
ख़ुफ़िया,ḵẖufiyā
खुबना,khubnā
खुभना,khubhnā
ख़ुम,ḵẖum
ख़ुमार,ḵẖumār
ख़ुमारी,ḵẖumārī
खुमी,khumī
खुरंड,khuraṇḍ
खुर,khur
खुरखुर,khurkhur
ख़ुरख़ुर,ḵẖurḵẖur
खुरखुरा,khurkhurā
खुरखुराना,khurkhurānā
ख़ुरख़ुराहट,ḵẖurḵẖurāhaṭ
खुरचन,khurcan
खुरचना,khuracnā
खुरचनी,khurcanī
ख़ुरजी,ḵẖurjī
खुरट,khuraṭ
खुरदरा,khurdarā
खुरदरापन,khurdarāpan
खुरपका,khurpakā
खुरपना,khurapnā
खुरपा,khurpā
खुरपी,khurpī
ख़ुरमा,ḵẖurmā
ख़ुरमा,ḵẖurmā
खुरराँटा,khurrāṁṭā
खुरहा,khurhā
खुराँट,khurāṁṭ
खु़राक,ḵẖurāk
खु़राकी,ḵẖurākī
खु़राफ़ात,ḵẖurāfāt
खु़राफ़ाती,ḵẖurāfātī
खुरिया,khuriyā
खुरी,khurī
खुरेंच,khureṁc
खुरेंचना,khureṁcnā
खु़र्द,ḵẖurd
खु़र्दा,ḵẖurdā
खु़र्रम,ḵẖurram
खुर्रा,khurrā
खु़र्राट,khurrāṭ
खुर्राटा,khurrāṭā
खु़र्शंद,ḵẖurśand
खुलना,khulnā
खुलबंदी,khulbandī
खुलवाई,khulvāī
खुलवाना,khulvānā
खुलाई,khulāī
खुलाना,khulānā
खु़लासा,ḵẖulāsā
खु़श,ḵẖuś
खु़शाल,ḵẖuśāl
खु़शी,ḵẖuśī
खु़श्क,ḵẖuśk
खु़श्की,ḵẖuśkī
खुसखुस,khuskhus
खुसटिया,khusaṭiyā
खुसफुस,khusphus
खुसफेली,khusphelī
खुसरफुसर,khusarphusar
खु़सूसन,ḵẖusūsan
खु़सूसियत,ḵẖusūsiyat
ख़ूँख़्वार,ḵẖūṁḵẖvār
खूँट,khūṁṭ
खूँट,khūṁṭ
खूँटना,khūṁṭnā
खूँटा,khūṁṭā
खूँटी,khūṁṭī
खूँदना,khūṁdnā
खूट,khūṭ
खूट,khūṭ
खूटा,khūṭā
खूटी,khūṭī
खूड़,khūṛ
खूद,khūd
खू़न,ḵẖūn
खू़नी,ḵẖūnī
खू़ब,ḵẖūb
खू़बानी,ḵẖūbānī
ख़ूबी,ḵẖūbī
खूसट,khūsaṭ
खेई,kheī
खेकसा,kheksā
खेखसा,khekhsā
खेचना,khecnā
खेचर,khecar
खेचरी,khecarī
खेटक,kheṭak
खेटक,kheṭak
खेटक,kheṭak
खेडा़,kheṛā
खेडी़,kheṛī
खेडी़,kheṛī
खेत,khet
खेतिया,khetiyā
खेतिहर,khetihar
खेती,khetī
खेद,khed
खेदा,khedā
खेदाई,khedāī
खेदना,khednā
खेदित,khedit
खेदी,khedī
खेना,khenā
खेप,khep
खेपना,khepnā
खेपिया,khepiyā
खेम,khem
खेमटा,khemṭā
खे़मा,ḵẖemā
खेरना,khernā
खेरा,kherā
खेरी,kherī
खेल,khel
खेल,khel
खेलत,khelat
खेलना,khelnā
खेलवाड़,khelvāṛ
खेलवाना,khelvānā
खेला,khelā
खेलाडी़,khelāṛī
खेलाना,khelānā
खेलौना,khelaunā
खेवक,khevak
खेवट,khevaṭ
खेवट,khevaṭ
खेवना,khevnā
