punjabi,phon
ਦਰੂਹਨ,d a r uu h a n
ਦਰੁਕਨ,d a r u k a n
ਦਰੂਕਰੀ,d a r uu k r ii
ਦਰੂਮਲ,d a r uu m a l
ਦਰੂਮਬੀ,d a r uu m b ii
ਦਰੂਨ,d a r uu n
ਦਰੂੰਦਾ,d a r uu ng d aa
ਦਰੁਡ਼ਾ,d a r u rr aa
ਦਾਰੂਡ਼ਾ,d aa r uu rr aa
ਦਾਰੂਡ਼ੀ,d aa r uu rr ii
ਦਰੂਸ,d a r uu s
ਦਰੁਸਤ,d a r u s t
ਦਰੁਸਤੀ,d a r u s t ii
ਦਡ਼ੁਤ,d a rr u t
ਦਰਵਾਜਾ,d a r v aa j aa
ਦਰਵੱਜਾ,d a r v a j j aa
ਡਰਵੱਯਾ,dd a r v a y y aa
ਡਰਵੈਯਾ,dd a r v E y aa
ਦਰਵਾਰੀ,d a r v aa r ii
ਦਰਵੇਸ,d a r v e s
ਦਰਵੇਸ਼,d a r v e sh
ਦਰਯਾ,d a r y aa
ਦਰਯਾਉ,d a r y aa u
ਦਾਰਯਾ,d aa r y aa
ਦਰਯਾਈ,d a r y aa ii
ਦਸ,d a s
ਡਸ,dd a s
ਦਾਸ,d aa s
ਦਸਾਧ,d a s aa dh
ਦਸਾਧਣੀ,d a s aa dh nn ii
ਦਸਹਿਰਾ,d a s a h i r aa
ਦਸਾਉਣਾ,d a s aa u nn aa
ਦਸੌਂਧ,d a s O ng dh
ਦਸੌਂਧਣ,d a s O ng dh a nn
ਦਸੌਂਧੀ,d a s O ng dh ii
ਦਸਾਉਰ,d a s aa u r
ਦਸੌਰ,d a s O r
ਦਸਾਵਰ,d a s aa v a r
ਦਸਾਉਰੀ,d a s aa u r ii
ਦਸੌਰੀ,d a s O r ii
ਦਸਾਵਰੀ,d a s aa v a r ii
ਦਸੇਰਾ,d a s e r aa
ਦਾਸੀ,d aa s ii
ਦਸੀਜਣ,d a s ii j a nn
ਦਸਮਾਂ,d a s m aa ng
ਦਸਮੀ,d a s m ii
ਦਸੋਦਿਸਾ,d a s o d i s aa
ਦਿਸੋਗਿਆਹਰੀ,d a s o g i aa h r ii
ਦਸੋਕਡ਼,d a s o k a rr
ਦਸੋਤ੍ਰਾ,d a s o t r aa
ਦਾੱਸਾ,d aa s s aa
ਡਾੱਸਾ,dd aa s s aa
ਦੱਸਨ,d a s s a n
ਡੱਸਨ,dd a s s a n
ਦੱਸਰ,d a s s a r
ਦੱਸੀ,d a s s ii
ਦੱਸਣਾ,d a s s nn aa
ਦੱਸਪੈਣਾ,d a s s p E nn aa
ਦੱਸਪਾਉਣਾ,d a s s p aa u nn aa
ਦਸਤ,d a s t
ਦਸਤਾ,d a s t aa
ਦਸਤਕ,d a s t a k
ਦਸਤਕਾ,d a s t a k aa
ਦਸਤਕੀਆ,d a s t a k ii aa
ਦਸਤਾਨਾ,d a s t aa n aa
ਦਸਤਾਰ,d a s t aa r
ਦਸਤਾਰਾ,d a s t aa r aa
ਦਸਤਰਖਾਨਾ,d a s t a r kh aa n aa
ਦਸਤਾਵੇਜ,d a s t aa v e j
ਦਸਤਾਬੇਜ,d a s t aa b e j
ਦਸਤੀ,d a s t ii
ਦਸਤੂਰ,d a s t uu r
ਦਸਤੂਰੀ,d a s t uu r ii
ਦਸਤੂਰੀਆ,d a s t uu r ii aa
ਦਤਸੂਰੀਯਾ,d a s t uu r ii y aa
ਦਸਵਾਂ,d a s v aa ng
ਦਸਵੇਂ,d a s v e ng
ਦਸਵੀਂ,d a s v ii ng
ਦਸਵੰਧ,d a s v a ng dh
ਦਸਵੰਧੀ,d a s v a ng dh ii
ਡਟ,dd a tt
ਡਾਟ,dd aa tt
ਦਾਤ,d aa t
ਦਾਤਾ,d aa t aa
ਦਾਤੀ,d aa t ii
ਦਾਤਣ,d aa t a nn
ਦਤਾਰ,d a t aa r
ਦਾਤਾਰ,d aa t aa r
ਦਤਾਰੀ,d a t aa r ii
ਦਾਤਾਰੀ,d aa t aa r ii
ਦਾਤਰੀ,d aa t a r ii
ਦਾਤੀ,d aa t ii
ਡਥਾ,dd a th aa
ਦਤਿਆਲੂ,d a t i aa l uu
ਡਟਣਾ,dd a tt nn aa
ਡਾਟਣਾ,dd aa tt nn aa
ਦਾਤਰੀ,d aa t r ii
ਡਾਤਰੀ,dd aa t r ii
ਡੱਟਾ,dd a tt tt aa
ਦੱਥਾ,d a t th aa
ਡੱਠਲ,dd a tt tth a l
ਦੱਥਲ,d a t th a l
ਦੱਥਰ,d a t th a r
ਡੱਠਣਾ,dd a tt tth nn aa
ਦੱਥਣਾ,d a t th nn aa
ਦੱਥਲੈਣਾ,d a t th l E nn aa
ਦੱਤੂਰ,d a t t uu r
ਦਾਤੁਣ,d aa t u nn
ਦਾਉ,d O
ਡਊ,dd a uu
ਦਾਊਦੀ,d aa uu d ii
ਦਊਦੀ,d a uu d ii
ਡੌਲ,dd O l
ਡੌਲਾ,dd O l aa
ਦਾਉਲਾ,d aa u l aa
ਡਾਉਲਾ,dd aa u l aa
ਡੌਲਣਾ,dd O l a nn aa
ਡੌਲਣਾ,dd O l nn aa
ਦੌਲਤ,d O l a t
ਦੌੱਲਾ,d O l l aa
ਦਉਣ,d O nn
ਦਾਉਣ,d aa u nn
ਡਾਉਣ,dd aa u nn
ਡੌਂ,dd O ng
ਦਾਉਣਾ,d aa u nn aa
ਡੌਂਡੀ,dd O ng dd ii
ਡੌਂਣੀ,dd O nn ii
ਦਾਉਣੀ,d aa u nn ii
ਦੌਣੀ,d O nn ii
ਦੌਰ,d O r
ਦੌਡ਼,d O rr
ਦੌਰਾ,d O r aa
ਦੌਡ਼ਾ,d O rr aa
ਦੌਡ਼ਾਹਾ,d O rr aa h aa
ਦੌਡ਼ਾਕ,d O rr aa k
ਦੌਡ਼ਾਉਣਾ,d O rr aa u nn aa
ਦੌਰੀ,d O r ii
ਦੌਡ਼ਨਾ,d O rr nn aa
ਡੌਰੂ,dd O r uu
ਦੌਤ,d O t
ਦਾਉਤ,d aa u t
ਦਾਉਤੀ,d aa u t ii
ਦਾਵ,d aa v
ਦਵਾ,d a v aa
ਦਵਾਈ,d a v aa ii
ਦਾਵਾ,d aa v aa
ਦਾਵਹ,d aa v a h
ਦਵਾਦਸੀ,d a v aa d s ii
ਦਵਾਇਣ,d a v aa i nn
ਦਵੈਤ,d a v E t
ਦਵਾਇਤ,d a v aa i t
ਦਵਾਖਡ਼ੀ,d a v aa kh a rr ii
ਦਵਾਖੀ,d a v aa kh ii
ਦਵਾਲ,d a v aa l
ਦਵਾਲਾ,d a v aa l aa
ਦਵਾਲੀ,d a v aa l ii
ਦਵਾਲੀਆ,d a v aa l ii aa
ਦਵਾਲਯਾ,d a v aa l y aa
ਦਵਾਣ,d a v aa nn
ਦਾਵਾਂ,d aa v aa ng
ਦਵਾਣਾ,d a v aa nn aa
ਡਾਵਾਂਡੋਲ,dd aa v aa ng dd o l
ਦਵਾਪਰ,d a v aa p a r
ਦਵਾਰੀ,d a v aa r ii
ਦਵਾਤ,d a v aa t
ਦਵਾਤਣ,d a v aa t a nn
ਦਵਾਠੀ,d a v aa tth ii
ਦਾਵੀ,d aa v ii
ਦਵੋਲੀਆ,d a v o l ii aa
ਦਯਾ,d a y aa
ਦਯਾਲਗੀ,d a y aa l g ii
ਦਾਯਾ,d aa y aa
ਦਾਯਕ,d aa y a k
ਦਯਾਲ,d a y aa l
ਦੇ,d e
ਦੇਚਕਾ,d e c k aa
ਦੇਚਕੀ,d e c k ii
ਡੇਡਰ,dd e dd a r
ਦੇਦਰ,d e d a r
ਡੇਢ,dd e ddh
ਡੇਢਾ,dd e ddh aa
ਦੇਧੇਤਕਲਾ,d e dh e t a k l aa
ਡੇਢੀ,dd e ddh ii
ਦੇਗ,d e g
ਦੇਗਰ,d e g a r
ਦੇਗਚਾ,d e g c aa
ਦੇਗਚੀ,d e g c ii
ਦੇਘ,d e gh
ਡੇਗਣਾ,dd e g nn aa
ਦੇਹ,d e h
ਦੇਹਲ,d e h a l
ਦੇਹੀ,d e h ii
ਡੇਹਮੂ,dd e h m uu
ਡੇਹਮੂੰ,dd e h m uu ng
ਦੇਹਰਾ,d e h r aa
ਡੇਹਰਾ,dd e h r aa
ਦੇਈ,d e ii
ਦੇਈਂ,d e ii ng
ਦੇਜਕਾ,d e j k aa
ਦੇਕਚਾ,d e k c aa
ਦੇਜਕੀ,d e j k ii
ਦੇਕਚੀ,d e k c ii
ਡੇਕ,dd e k
ਦੇਖ,d e kh
ਡੇਖਣ,dd e kh a nn
ਦੇਖਣਾ,d e kh nn aa
ਦੇਖਵੱਯਾ,d e kh v a y y aa
ਡੇਲਾ,dd e l aa
ਡੇਲ੍ਹਾ,dd e l h aa
ਡੇੱਲਾ,dd e l l aa
ਡੇਲਡ਼,dd e l a rr
ਡੇਂਭੂ,dd e m bh uu
ਡੇਮੂ,dd e m h uu
ਡੇਮੂੰ,dd e m h uu ng
ਦੇਣ,d e nn
ਡੇਣ,dd e nn
ਦੇਣਾ,d e nn aa
ਡੇਂਭੂੰ,dd e ng bh uu ng
ਦੇਂਕਲੂ,d e ng d l uu
ਦੇਂਦਰੂ,d e ng d r uu
ਦੇਂਹ,d e ng h
ਡੇਂਹ,dd e ng h
ਦੇਂਥਰ,d e ng th a r
ਦੇਂਤਰੂ,d e ng t uu r uu
ਦੇਉਦਾਰ,d e o d aa r
ਦੇਉਖਾਦਿਰ,d e o kh aa d i r
ਡੇਰ,dd e r
ਦੇਰ,d e r
ਡੇਰ,dd e r
ਦੇਰੀ,d e r ii
ਡੇਰੀ,dd e r ii
ਡੇਰਾ,dd e r aa
ਡੇਰਹ,dd e r a h
ਡੇਰਾਣੀ,dd e r aa nn ii
ਦੇਰਾਣੀ,d e r aa nn ii
ਦੇਸ,d e s
ਦੇਸਾਚਾਲ,d e s aa c a l
ਦੇਸਾਚਾਰ,d e s aa c aa r
ਦੇਸਾਢਾਲ,d e s aa ddh aa l
ਦੇਸਣ,d e s a nn
ਦੇਸੀ,d e s ii
ਦੇਉ,d e u
ਦੇਉ,d e uu
ਡੇਊਢ,dd e u ddh
ਡੇਉਢਾ,dd e u ddh aa
ਡੇਉਢੀ,dd e u ddh ii
ਦੇਉਹਡ਼ੀ,dd e u h rr ii
ਦੇਉਹਰਾ,d e u h r aa
ਦੇਉਰ,d e u r
ਦੇਉਡ਼੍ਹਾ,dd e u rrh aa
ਡੇਉਡ਼੍ਹੀ,dd e u rrh ii
ਦੇਉਤਾ,d e u t aa
ਦੇਵ,d e v
ਦੇਵਾ,d e v aa
ਡੇਵਣ,dd e v a nn
ਦੇਵਣ,d e v a nn
ਦੇਵੀ,d e v ii
ਦੇਵਤਾ,d e v t aa
ਦੇਵਾਲਾ,d e v aa l aa
ਦੇਵਾਲੀ,d e v aa l ii
ਦੇਵਰ,d e v a r
ਧਾ,dh aa
ਢਾ,ddh aa
ਢਬ,ddh a b
ਧਾਬ,dh aa b
ਢਾਬ,ddh aa b
ਢਬਾ,ddh a b aa
ਧੱਬਾ,dh a b b aa
ਢੱਬਾ,ddh a b b aa
ਧੱਬਲਾ,dh a b b a l aa
ਧੱਬਲੀ,dh a b b a l ii
ਢਬੀਆ,ddh a b ii aa
ਢਬੂਆ,ddh a b uu aa
ਢਚਰ,ddh a c a r
ਢਚਰਣ,ddh a c a r a nn
ਢਚਰੀ,ddh a c a r ii
ਢਾਡਣ,ddh a dd a nn
ਢਾਡਸ,ddh aa dd a s
ਢੱਡ,ddh a dd dd
ਢੱਢ,ddh a dd ddh
ਧੱਦ,dh a d d
ਧੱਧਾ,dh a d d aa
ਢੱਡਾ,ddh a dd dd aa
ਧੱਦਲ,dh a d d a l
ਧੱਦਰ,dh a d d a r
ਧੱਦਰੀ,dh a d d a r ii
ਧਾਧਾ,dh aa dh aa
ਢਾਢੀ,ddh aa ddh ii
ਢਾਡੀ,ddh aa dd ii
ਢਾਡੂ,ddh aa dd uu
ਧਗ,dh a g
ਧਗਾਣਾ,dh a g aa nn aa
ਧਗਾਣੇ,dh a g aa nn e
ਧਗਡ਼,dh a g a rr
ਧੱਗ,dh a g g
ਧਾੱਗਾ,dh aa g g aa
ਢੱਗਾ,ddh a g g aa
ਧੱਗਡ਼ੀ,dh a g g a rr ii
ਧੱਗਡ਼ੀ,dh a g g rr ii
ਢੱਗੀ,ddh a g g ii
ਧਗਡ਼ਾ,dh a g rr aa
ਧਗਡ਼ੀ,dh a g rr ii
ਢਾਗੁਣਾ,ddh aa g u nn aa
ਧਾਹ,dh aa h
ਢਾਹ,ddh aa h
ਢਹਿ,ddh a h i
ਢਾਹਾ,ddh aa h aa
ਢਹਾਈ,ddh a h aa ii
ਢਹਾਉਣਾ,ddh a h aa u nn aa
ਢਹਿਣਾ,ddh a h i nn aa
ਢਾਹਣਾ,ddh aa h nn aa
ਧਾਈ,dh aa ii
ਢਾਈ,ddh aa ii
ਢਾਇਆ,ddh aa i aa
ਢਾਈਆ,ddh aa ii aa
ਢਈਆ,ddh a ii aa
ਧੈਹਧੈਹ,dh E h
ਢੈਹਢੈਹ,ddh E h
ਢੈਜਾਣਾ,j aa nn aa
ਢੈਖਾਣੀ,kh aa nn ii
ਢੈਲਾ,ddh E l aa
ਧੈਣ,dh E nn
ਧਾਈਂ,dh aa ii ng
ਢਾਈਂ,ddh aa ii ng
ਢੈਣਾ,ddh E nn aa
ਢੈਪੈਣਾ,dh E p E nn aa
ਢਈਯਾ,ddh a ii y aa
ਧਜ,dh a j
ਧਜਾ,dh a j aa
ਧਜਾ,dh a j aa
ਧਜੀਲਾ,dh a j ii l aa
ਧੱਜੀ,dh a j j ii
ਢਕ,ddh a k
ਧਾਕ,dh aa k
ਢਾਕ,ddh aa k
ਢਕਾਈ,ddh a k aa ii
ਢਕਣ,ddh a k a nn
ਢਕਾਰ,ddh a k aa r
ਢਕਾਰਣ,ddh a k aa r a nn
ਢਕਾਰੀ,ddh a k aa r ii
ਢਕਾਉਣਾ,ddh a k aa u nn aa
ਧਕਾਉਣਾ,dh a k aa u nn aa
ਧਕਧੁੱਨਾ,dh a k dh u n n aa
ਧਕੇਲਦੇਣਾ,dh a k e l d e nn aa
ਧਕੇਲਣਾ,dh a k e l nn aa
ਧਕੇਲ੍ਹੋ,dh a k e l o
ਧਕੋਲੂ,dh a k e l uu
ਦਾਖ,dh aa kh
ਢਕੀਜਣ,ddh a k ii j a nn
ਧੱਕ,dh a k k
ਢੱਕ,ddh a k k
ਧੱਕਾ,dh a k k aa
ਢੱਕਾ,ddh a k k aa
ਧੱਕਮਧੱਕਾ,dh a k k aa
ਧੱਕਡ਼,dh a k k a rr
ਧੱਖ,dh a k kh
ਧੱਖੀ,dh a k kh ii
ਢੱਕੀ,ddh a k k ii
ਢੱਕਮਕੌਡ਼ਾ,ddh a k k m a k O rr aa
ਢੱਕਣਾ,ddh a k k nn aa
ਧੱਕਣਾ,dh a k k nn aa
ਧੱਕੋਧੱਕੀ,dh a k k ii
ਢਕਣਾ,ddh a k nn aa
ਢਕਣੀ,ddh a k nn ii
ਢਕੋਣੀ,ddh a k o nn ii
ਢਕੋਰਾ,ddh a k o r aa
ਢਕੁੰਜ,ddh a k u ng j
ਢਕਵੰਜ,ddh a k v a ng j
ਢਕਵੰਜਾ,ddh a k v a ng j aa
ਢਕਵੰਜੀ,ddh a k v a ng j ii
ਢਕਵਾਈ,ddh a k v aa ii
ਢਕਵਾਉਣਾ,ddh a k v aa u nn aa
ਢਾਲ,ddh aa l
ਢਲਾਈ,ddh a l aa ii
ਢਲਾਉਣ,ddh a l aa u nn
ਢਲੈਂਤ,ddh a l E ng t
ਢਲਕ,ddh a l a k
ਢਲਕਣਾ,ddh a l a k nn aa
ਢਲਕਨਾ,ddh a l k n aa
ਢਾਲਣਾ,ddh aa l a nn aa
ਢਲਾਉਣਾ,ddh a l aa u nn aa
ਧਲਿਆਰਾ,dh a l i aa r aa
ਢਲਕਾਉ,ddh a l k aa u
ਢਲਕਾਉਣਾ,dh a l k aa u nn aa
ਢਲਨਾ,ddh a l n aa
ਢਲਜਾਣਾ,ddh a l j aa nn aa
ਢਾਲਣਾ,ddh aa l nn aa
ਢਾਲਨਾ,ddh aa l n aa
ਢਾਲੂ,ddh aa l uu
ਧਲੂਥਣਾ,dh a l uu kh nn aa
ਢਲਵਾਈ,ddh a l v aa ii
ਢਲਵਾਉਣਾ,ddh a l v aa u nn aa
ਧਾਮ,dh aa m
ਧਾਮਾ,dh aa m aa
ਧਮਾ,dh a m aa
ਧਮੱਚਡ਼,dh a m a c c a r
ਧਮੱਚਡ਼ਾ,dh a m a c c a rr aa
ਧਮਾਧਮ,dh a m aa dh a m
ਧਮਾਹਾਂ,dh a m aa h aa ng
ਧਮਕ,dh a m a k
ਧਮਾਕਾ,dh a m aa k aa
ਢਮੱਕਾ,ddh a m a k k aa
ਧਮਕਣਾ,dh a m a k nn aa
ਧਮਾਲ,dh a m aa l
ਧਮਾਲੀ,dh a m aa l ii
ਢਾਮਾਂ,ddh aa m aa ng
ਧਾਮਣ,dh aa m a nn
ਧਮਣ,dh a m a nn
ਧਾਮਾਂ,dh aa m aa ng
ਧਮਾਣ,dh a m aa nn
ਧਮਾਣ੍ਹ,dh a m aa nn h
ਢਾਮਣਾ,ddh aa m a nn aa
ਢਾਮਣੀ,ddh aa m a nn ii
ਧਮਾਰ,dh a m aa r
ਧਮਡ਼ਧੁੱਸਾ,dh a m a rr dh u s s aa
ਧਮਧੁੱਸਡ਼,dh a m dh u s s a rr
ਧੰਬਲਾ,dh a m b a l aa
ਧੰਬਲੀ,dh a m b a l ii
ਧੰਬੀਡ਼,dh a m b ii rr
ਧੰਬੋਡ਼ੀ,dh a m b o rr ii
ਧਮਚੱਕਡ਼,dh a m c a k k a rr
ਧਮੀਆਂ,dh a m ii aa ng
ਧਮਕਡ਼ਾ,dh a m k a rr aa
ਧਮਕਾਟ,dh a m k aa tt
ਧਮਕਾਦੇਣਾ,dh a m k aa d e nn aa
ਧਮਕਾਉਣਾ,dh a m k aa u nn aa
ਧਮਕੀ,dh a m k ii
ਢਮਕੀਰੀ,ddh a m k ii r ii
ਧਾੱਮਾ,dh aa m m aa
ਧਮੱਣ,dh a m m a nn
ਧੱਮਡ਼ਧੁੱਸਾ,dh a m m a rr dh u s s aa
ਧੱਮੀਂਵੇਲਾ,dh a m m ii nn v e l aa
ਧਮਣੀ,dh a m nn ii
ਧਮੋਡ਼ੀ,dh a m o rr ii
ਧਮੁੱਕਾ,dh a m u k k aa
ਧਮੁੱਕੀ,dh a m u k k ii
ਧਣ,dh a nn
ਧਾਣ,dh aa nn
ਢਾਣਾ,ddh aa nn aa
ਧਨਾਢ,dh a n aa ddh
ਧਣਕ,dh a nn a k
ਧਨਖ,dh a n a kh
ਧਨਕ,dh a n a k
ਧਾਣਾਂ,dh aa nn aa ng
ਧਨੰਤ੍ਰ,dh a n a ng t a r
ਧੰਨਤ੍ਰੀ,d a a n a ng t a r ii
ਧਨਾਪ,dh a n aa p
ਧਨਾਸਰੀ,dh a n aa s a r ii
ਧਨੱਤਰ,dh a n a t t a r
ਧਨਾਵਨ,dh a n aa v a n
ਢਾਂਚ,ddh aa ng c
ਢਾਂਚਾ,ddh aa ng c aa
ਧੰਡ,dh a ng dd
ਢੰਡ,ddh a ng dd
ਧੰਦਾ,dh a ng d aa
ਢਾਂਡਾ,ddh aa ng dd aa
ਧੰਦਾਲ,dh a ng d aa l
ਧਾਂਦਲ,dh aa ng d a l
ਧਾਂਦਲੀ,dh aa ng d a l ii
ਢੰਡਾਲ,ddh a ng dd aa l
ਧੰਦਾਲੀ,dh a ng d aa l ii
ਧਾਂਦਲੀ,dh aa ng d a l ii
ਧਾਂਦਲੀਆ,dh aa ng d a l ii aa
ਧਾਂਦਲਣ,dh aa ng d a l a nn
ਧਾਂਦਲਯਾ,dh aa ng d a l y aa
ਢੰਢ,ddh a ng ddh
ਧਾਂਧਾਂ,dh aa ng dh aa ng
ਢਾਂਢੂ,ddh aa ng ddh uu
ਢਾਂਡੀ,ddh aa ng dd ii
ਢੰਡੋਲਣਾ,ddh a ng dd o l nn aa
ਢੰਡੋਰਾ,ddh a ng dd o r aa
ਢੰਡੋਰੀਆ,ddh a ng dd o r ii aa
ਢਾਂਡਡ਼ੀ,ddh aa ng dd rr ii
ਧਾਂਗ,ddh aa ng g
ਢੰਗ,ddh a ng g
ਢਾਂਗਾ,ddh aa ng g aa
ਢੰਗਾ,ddh a ng g aa
ਢੰਗਣਾ,ddh a ng g nn aa
ਢਾਂਗੂ,ddh aa ng g uu
ਢਾਂਗੂਆ,ddh aa ng g uu aa
ਧਾਂਹ,dh aa ng h
ਧਾਨਹਾਂ,dh aa n h aa ng
ਧਣੀ,dh a nn ii
ਢਾਣੀ,ddh aa nn ii
ਧਨੀਆ,dh a n ii aa
ਧਨੀਆਂ,dh a n ii aa ng
ਧਨੀਜਣ,dh a n ii j a nn
ਧਾਨਜ,dh aa n j
ਧਾਂਕ,dh aa ng k
ਢੰਕਾਰ,ddh a ng k aa r
ਢੰਕਾਰਣ,ddh a ng k aa r a nn
ਢੰਕਾਰੀ,ddh a ng k aa r ii
ਧਣਖ,dh a nn a kh
ਧੰਖ,dh a ng kh
ਧੱਨ,dh a n n
ਢੱਨ,ddh a n n
ਢੱਨ੍ਹ,ddh a n n h
ਧੱਨਾ,dh a n n aa
ਧਨਣਾ,dh a nn n aa
ਧੱਨੀ,dh a n n ii
ਧਾਂਸ,dh aa ng s
ਧਾਂਸਣਾ,dh aa ng s nn aa
ਧਾਤ,dh aa ng t
ਧਣੁਕ,dh a nn u k
ਧਣੁਖ,dh a nn u kh
ਧਣੁਖੀ,dh a nn u kh ii
ਧਾਨੂ,dh aa n uu
ਧਨਵਾਈ,dh a n v aa ii
ਧਾਂਵਨ,dh aa ng v a n
ਧਨਯਾ,dh a n y aa
ਧਨਯਾਂ,dh a n y aa ng
ਧਾਓਧਾ,dh aa o dh aa
ਧਾਪ,dh aa p
ਧੱਪਾ,dh a p p aa
ਧੱਫ,dh a p ph
ਧੱਫਾ,dh a p ph aa
ਧੱਫਡ਼,dh a p ph a rr
ਢੱਪਣਾ,ddh a p p nn aa
ਧਰ,dh a r
ਧਡ਼,dh a rr
ਧਾਰ,dh aa r
ਧਾਡ਼,dh aa rr
ਧਡ਼ਾ,dh a rr aa
ਧਰਾ,dh a r aa
ਧਾਡ਼ਾ,dh aa rr aa
ਢਾਰਾ,ddh aa r aa
ਧਾਰਾ,dh aa r aa
ਧਰਾਦੇਣਾ,dh a r aa d e nn aa
ਧਰਾਈ,dh a r aa ii
ਧਡ਼ਕ,dh a rr a k
ਧਡ਼ਾਕਾ,dh a rr aa k aa
ਧਡ਼ਕਣਾ,dh a rr a k nn aa
ਧਡ਼ੱਲ,dh a rr a l l
ਧਡ਼ੱਲਾ,dh a rr a l l aa
ਧਰਨ,dh a r a n
ਧਾਰਨ,dh aa r a n
ਧਰਾਪਣਾ,dh a r aa p nn aa
ਧਰਾਸ,dh a r aa s
ਧਡ਼ਤ,dh a rr a t
ਧਡ਼ਥ,dh a rr a th
ਧਰਾਉਣਾ,dh a r aa u nn aa
ਧਰਾਵਾ,dh a r aa v aa
ਧਰੇਕ,dh a r e k
ਧਰੇਲ,dh a r e l
ਧਰੇਵਾ,dh a r e v aa
ਧਰਘੁੱਨਾ,dh a r gh u n n aa
ਧਾਰੀ,dh aa r ii
ਧਡ਼ੀ,dh a rr ii
ਧਡ਼ੀਆਂ,dh a rr ii aa ng
ਧਾਡ਼ਿਆਪਹਰਿਆ,dh aa rr i aa p a h r i aa
ਧਾਡ਼ਿਆਪਾਹਰਿਆ,dh aa rr i aa p aa h r i aa
ਧਰਿੱਗ,dh a r i g g
ਧਡ਼ਕਾ,dh a rr k aa
ਧਡ਼ਕੀ,dh a rr k ii
ਧਰਕੱਲਣਾ,dh a r k a l l a nn aa
ਧਡ਼ਕਾਉਣਾ,dh a rr k aa u nn aa
ਧਡ਼ਕਣਾ,dh a rr k nn aa
ਧਰਮ,dh a r m
ਧਰਮਾਉਣਾ,dh a r m aa u t a nn
ਧਰਮਾਉਤੀ,dh a r m aa u t ii
ਧਰਮੀ,dh a r m ii
ਧਰਨਾ,dh a r n aa
ਧਾਰਨਾ,dh aa r n aa
ਧਰਨੀ,dh a r n ii
ਧਰੋਹ,dh a r o h
ਧਰੋਹਰ,dh a r o h a r
ਧਰੋਹੀ,dh a r o h ii
ਧਰਪੋਸ਼,dh a r p o sh
ਧੱਰਾ,dh a r r aa
ਧਰਤ,dh a r t
ਧਰਤੀ,dh a r t ii
ਧਰੁੱਗ,dh a r u g g
ਧਰੂਹ,dh a r uu h
ਧਰੂਹਣਾ,dh a r uu h nn aa
ਧਰੂਰ,dh a r uu r
ਧਰਵਾਦੇਣਾ,dh a r v aa d e nn aa
ਧਡ਼ਵਾਈ,dh a rr v aa ii
ਧਰਵਾਈ,dh a r v aa ii
ਧਡ਼ਵਾਇਣ,dh a rr v aa i nn
ਧਾਰਵਾਨ,dh aa r v aa n
ਧਾਰਵਾਂ,dh aa r v aa ng
ਧਰਵਾਸ,dh a r v aa s
ਧਰਵਾਉਣਾ,dh a r v aa u nn aa
ਧਾਡ਼ਵੀ,dh aa rr v ii
ਧਾਡ਼ਵਣ,dh aa rr v a nn
ਧਸਾਕ,dh a s aa k
ਧਸਾਕਾ,dh a s aa k aa
ਧਸਲ,dh a s a l
ਧਸਣ,dh a s a nn
ਧਸਾਣ,dh a s aa nn
ਧਸਾਊ,dh a s aa uu
ਧਸਾਉ,dh a s aa u
ਧਸਾਉਣਾ,dh a s aa u nn aa
ਧਸਾਣਾ,dh a s aa nn aa
ਢਾਸਣਾ,ddh aa s nn aa
ਧਸਣਾ,dh a s nn aa
ਧਾੱਸਾ,dh aa s s aa
ਧੱਸਣਾ,dh a s s nn aa
ਧਸਵਾਉਣਾ,dh a s v aa u nn aa
ਧਤ,dh a t
ਧਾਤ,dh aa t
ਢਾਟਾ,ddh aa tt aa
ਢਾਠਾ,ddh aa tth aa
ਢਾਟਮ,ddh aa tt a m
ਢੱਟਾ,ddh a tt tt aa
ਢੱਠ,ddh a tt tth
ਢੱਠਾ,ddh tt tth aa
ਧਤੂਰਾ,dh a t uu r aa
ਧਤੂਰੀ,dh a t uu r ii
ਧਾਊ,dh aa u
ਢਊਆ,ddh a uu aa
ਢੌਗਣਾ,ddh O g u nn aa
ਧੌਖਣਾ,dh O kh nn aa
ਧੌਕਣਾ,dh O k nn aa
ਧੌਖਣੀ,dh O kh nn ii
ਧੌਕਣੀ,dh O k nn ii
ਧੌਲ,dh O l
ਧੌਲਾ,dh O l aa
ਧੌਲੀ,dh O l ii
ਧੌਲਰ,dh O l a r
ਧੌਲੂ,dh O l uu
ਧੌਣ,dh O nn
ਢਾਉਣਾ,ddh aa u nn aa
ਢੌਣਾ,ddh O nn aa
ਧੌਣਾ,dh O nn aa
ਧਾਉਣਾ,dh aa u nn aa
ਢੌੱਚਾ,ddh O ng c c aa
ਧਾਉਣੀ,dh aa u nn ii
ਧੌਣੀ,dh O nn ii
ਧੌਂਜਾਣਾ,dh O ng j aa nn aa
ਢੌਂਕਾ,ddh O ng k aa
ਧੌਂਖਣਾ,dh O ng kh nn aa
ਧੌਂਕਣਾ,dh O ng k nn aa
ਧੌਂਕਣੀ,dh O ng k nn ii
ਧੌਂਖਣੀ,dh O ng kh nn ii
ਧੌਂਕਡ਼ਾ,dh O ng k rr aa
ਧੌਡ਼ੀ,dh O rr ii
ਧੌਂਸ,dh O ng s
ਧੌਂਸਣਾ,dh O ng s nn aa
ਧੌਂਸਾੱ,dh O ng s s aa
ਧੌਂੱਸੀ,dh O ng s s ii
