ਆ,Á
ਦਮਕਡ਼ਾ,DAMKAṚÁ
ਦਮਕਾਉਣਾ,DAMKÁUṈÁ
ਦੱਮ,DAMM
ਡੱਮਰ,ḌAMMAR
ਡਮ੍ਹ,ḌAMMH
ਡਮ੍ਹਣਾ,ḌAMMHṈÁ
ਦਾਮਨੀ,DÁMNÍ
ਦਾਮੋਦਰ,DÁMODAR
ਦਮੋਦਰ,DAMODAR
ਦਮਡ਼ਾ,DAMṚÁ
ਦਮਡ਼ੀ,DAMṚÍ
ਦਮਤੂਰਾ,DAMTÚRÁ
ਦਮੂਸਾ,DAMÚSÁ
ਦਨ,DAN
ਦਾਣ,DÁṈ
ਡਨ,ḌAN
ਦਾਨਾ,DÁNÁ
ਦਨਾ,DANÁ
ਦਾਣਾ,DÁṈÁ
ਦਨਾਈ,DANÁÍ
ਦਾਨਾਈ,DÁNÁÍ
ਦਨਾਉ,DANÁU
ਡੰਭ,ḌAṆBH
ਦੰਭ,DAṆBH.
ਡੰਭਣਾ,ḌAṆBHṈÁ
ਦੰਭਣਾ,DAṆBHṈÁ
ਡੰਭਰਾ,ḌAṆBHRÁ
ਦੰਦ,DAṆD
ਡੰਦ,ḌAṆD
ਦਾਂਦ,DÁṆD
ਡਾਂਦ,ḌÁṆD
ਡੰਡ,ḌAṆḌ
ਦੰਦਾ,DAṆDÁ
ਡੰਦਾ,ḌAṆDÁ
ਡੰਡਾ,ḌAṆḌÁ
ਦੰਦਾਲ,DAṆDÁL
ਦੰਦਾਲਾ,DAṆDÁLÁ
ਦੰਦਾਲੀ,DAṆDÁLÍ
ਡੰਦਾਲੀ,ḌAṆDÁLÍ
ਦੰਦਣ,DAṆDAṈ
ਦੰਦਾਨਾ,DAṆDÁNÁ
ਦਨਦਨਾਉਣਾ,DANDANÁUṈÁ
ਦੰਦਰਵਾ,DAṆDARWÁ
ਦੰਦਾਸਾ,DAṆDÁSÁ
ਡੰਡੌਤ,ḌAṆḌAUT
ਦੰਡੌਤ,DAṆḌAUT
ਦੰਦੱਯਾ,DAṆDAYYÁ
ਦੰਦੇਲੀ,DAṆDELÍ
ਦੰਡੀ,DAṆḌÍ
ਡੰਡੀ,ḌAṆḌÍ
ਦੰਦੀ,DAṆDÍ
ਡੰਡੀਆ,ḌAṆḌÍÁ
ਦੰਦੀਲੀ,DAṆDÍLÍ
ਦੰਦਣਾ,DANDṈÁ
ਦੰਦੀਡ਼,DAṆDÍṚ
ਦੰਦਕਨ,DAṆDKAN
ਦਾਂਦੋ,DÁṆDO
ਦਾਂਦੂ,DÁṆDÚ
ਦੰਦੂ,DAṆDÚ
ਦੰਦਡ਼ਿੱਕਾ,DAṆDṚIKKÁ
ਦੰਦੂਰਾ,DAṆDÚRÁ
ਡੰਡਯਾ,ḌAṆḌYÁ
ਦੰਗ,DAṆG
ਡੰਗ,ḌAṆG
ਦਾਂਗ,DÁṆG
ਡਾਂਗ,ḌÁṆG
ਡੰਗੌਤ੍ਰਾ,ḌAṆGAUTRÁ
ਦੰਗਾ,DAṆGGÁ
ਡੰਗਾ,ḌAṆGGÁ
ਦੰਗੈਈ,DAṆGGAÍ
ਦੰਗੈਤ,DAṆGGAIT
ਦੰਗਲ,DAṆGGAL
ਡੰਗਰ,ḌAṆGGAR
ਡਾਂਗਰੀ,ḌÁṆGGARÍ
ਡਾੰਗਰੂ,DÁṆGGARÚ
ਡੰਗਣਾ,ḌAṆGGṈÁ
ਦਾਂਗੀ,DÁṆGÍ
ਦੰਗਸ਼ਲਟਸ,DAṆGSHALṬS
ਡਣੀ,ḌAṈÍ
ਡੰਝ,ḌAṆJH
ਡਾਂਝ,ḌÁṆJH
ਡੰਕ,ḌAṆK
ਡਾਂਕ,ḌÁṆK
ਡੰਕਾ,ḌAṆKÁ
ਡਾਂਕਾ,ḌÁṆKÁ
ਡਾਂਕੂ,ḌÁṆKÚ
ਡਾਂਕਯਾ,ḌÁṆKAYÁ
ਦੱਨ,DANN
ਡੱਨ,ḌANN
ਦੱਨਾ,DANNÁ
ਦਾੱਨਾ,DÁNNÁ
ਡੱਨਣ,ḌANNAṈ
ਡੱਨਣਾ,ḌANNAṈÁ
ਡੱਨੀ,ḌANNÍ
ਦਾੱਨੋ,DÁNNO
ਦਾਂਤ,DÁṆT
ਦੰਤ,DAṆT
ਦੰਤੀ,DAṆTÍ
ਦਾਨੂ,DÁNÚ
ਦਾਂਉ,DÁṆU
ਦਾਂਉਣੀ,DÁṆUṈÍ
ਡਾਂਵਨ,ḌÁṆWAN
ਡਾਂਵਨੀ,ḌÁṆWANÍ
ਡਾਵਾਂਡੋਲ,ḌÁṆWÁNḌOL
ਡਾਂਵਰ,ḌÁṆWAR
ਡੰਵਰਾਵਣ,DAṆWARÁWAṈ
ਦਪ,DAP
ਦਪਟ,DAPAṬ
ਡਪਟ,ḌAPAṬ
ਦਪਟਣਾ,DAPAṬṈÁ
ਡਪਟਣਾ,ḌAPAṬṈÁ
ਡਫੀ,ḌAPHÍ
ਡਫਾਲਣ,ḌAPHÁLAṈ
ਡਫਾਲੀ,ḌAPHÁLÍ
ਡਫਾਲੀਆ,ḌAPHÁLÍÁ
ਡਫਲਾ,ḌAPHLÁ
ਡਫਲੀ,ḌAPHLÍ
ਡਫਡ਼ੀ,DAPHṚÍ
ਦੱਪਟ,DAPPAṬ
ਡੱਫ,ḌAPPH
ਡੱਫਾ,ḌAPPHÁ
ਡੱਫਣਾ,ḌAPPHṈÁ
ਡਪਟਾਉਣਾ,ḌAPṬÁUṈÁ
ਦਰ,DAR
ਡਰ,ḌAR
ਦਡ਼,DAṚ
ਡਾਰ,ḌÁR
ਦਰਾ,DARÁ
ਦਾਰਾ,DÁRÁ
ਦਡ਼ਾ,DAṚÁ
ਦਰਬ,DARAB
ਦਡ਼ੱਬ,DAṚABB
ਦਰੱਬਰ,DARABBAR
ਦਰਭ,DARABH
ਦਰਾਬੀ,DARÁBÍ
ਦਰਗਡ਼ੀ,DARAGAṚÍ
ਦਰਘਿਰਨ,DARAGHIRAN
ਦਰਈਂ,DARAÍṆ
ਦਰਾਇਸ,DARÁIS
ਦਰਕ,DARAK
ਡਰਾਕ,ḌARÁK
ਡਰਾਕਾ,ḌARÁKÁ
ਡਰਾਕਲ,ḌARÁKAL
ਦਰਾਖ,DARÁKH
ਦਰਖਾਨ,DARAKHÁN
ਦਰਖਤ,DARAKHAT
ਦਰਖਤ,DARAKHT
ਦਡ਼ੱਕਾ,DAṚAKKÁ
ਦਰਕਣਾ,DARAKṈÁ
ਦਡ਼ਕਣਾ,DAṚAKṈÁ
ਦਰਲ,DARAL
ਦੱਡ਼ਲਾ,DAṚALLÁ
ਦਾਡ਼ਮ,DÁṚAM
ਦਰਮਣ,DARAMAṈ
ਦਰਮਡ਼,DARAMAṚ
ਦੱਰਮਰ,DARAMMAR
ਦੱਡ਼ਮ,DAṚAMM
ਦਾਰਨ,DÁRAN
ਦਰਾਂਗੇ,DARÁṆGE
ਦਰਾਂਗੂ,DARÁṆGÚ
ਦਰਾਣੀ,DÁRÁṈÍ
ਦਰਡ਼,DARAṚ
ਦਰਡ਼ਾ,DARAṚÁ
ਦਰਾਰ,DARÁR
ਦਰਡ਼ਨਾ,DARAṚNÁ
ਦਰਾਸ,DARÁS
ਦਰਾਤੀ,DARÁTÍ
ਦਰਾਟੀ,DARÁṬÍ
ਦਡ਼ਊ,DAṚAÚ
ਡਰਾਊ,ḌARÁÚ
ਦਡ਼ਾਉਣਾ,DAṚÁUṈÁ
ਦਰਾਉਣਾ,ḌARÁUṈÁ
ਡਰਾਵਾ,ḌARÁWÁ
ਦਰਵੀ,DARAWÍ
ਦਰਬ,DARB
ਦਡ਼ਬਾ,DAṚBÁ
ਦਰਬਾਣ,DARBÁṈ
ਦਰਬਾਨਣੀ,DARBÁNAṈÍ
ਦਰਬਾਰ,DARBÁR
ਦਡ਼ਂਬਡ਼ਾ,DAṚBAṚÁ
ਦਰਬਾਰੀ,DARBÁRÍ
ਦਰਬੀ,DARBÍ
ਦਾਰਚੀਣੀ,DÁRCHÍṈÍ
ਦਾਰਚੋਬ,DÁRCHOB
ਦਰਦ,DARD
ਦਰਦਣ,DARDAṈ
ਦਰਦੀ,DARDÍ
ਦਰਦਰਾ,DARDARÁ
ਡਰੇਕ,ḌAREK
ਦਰੇਕ,DAREK
ਦਰੇਂਦੂ,DAREṆDÚ
ਦਰੇਡ਼,DAREṚ
ਦਰੇਡ਼ਾ,DAREṚÁ
ਦਰੇਡ਼ਨਾ,DAREṚNÁ
ਦਰੇਸ,DARES
ਦਰੇਸ਼,DARESH
ਦਰਗਾਹ,DARGÁH
ਦਰਗਾਹਾ,DARGÁHÁ
ਦਾਡ਼੍ਹ,DÁṚH
ਦਾਡ਼੍ਹਾ,DÁṚHÁ
ਦਾਰਹਲਦ,DÁRHALD
ਦਾਡ਼੍ਹੀ,DÁṚHÍ
ਡਾਡ਼੍ਹੀ,ḌÁṚHÍ
ਦਾਡ਼੍ਹਣਾ,DÁṚHṈÁ
ਦਡ਼ਹੁੱਤ,DAṚHUTT
ਦਰੀ,DARÍ
ਦਾਰੀ,DÁRÍ
ਡਾਰੀ,ḌÁRÍ
ਦਾਰੀਆ,DÁRÍÁ
ਦਰਿਆ,DARIÁ
ਦਰਿਆਓ,DARIÁU
ਦਰਿਆਫਤ,DARIÁFAT
ਦਰਿਆਈ,DARIÁÍ
ਦਰੀਦਾਈ,DARÍDÁÍ
ਦਰਿੱਦਰ,DARIDDAR
ਦਰਿੱਦਰਤਾਈ,DARIDDARTÁÍ
ਦਰਿੱਦਰਣ,DARIDDARṈ
ਦਰਿੱਦਰੀ,DARIDDARÍ
ਦਰਿਘਾ,DARIGHÁ
ਦਰਿਘਿਰਾ,DARIGHIRÁ
ਦਰੀਜਣਾ,DARÍJṈÁ
ਦਰਿਣਖਰੀ,DARIṈKHARÍ
ਦਰਿਡ਼੍ਹ,DARIṚH
ਦਰਿਡ਼੍ਹਤਾ,DARIṚHTÁ
ਦਰਿਸਟ,DARISṬ
ਦਰਿਸਟਾਂਤ,DARISṬÁṆT
ਦਰਿਊਣ,DARIÚṈ
ਦਰਜ,DARJ
ਦਰਜਾ,DARJÁ
ਦਰਜਣ,DARJAṈ
ਦਰਜੀ,DARJÍ
ਦਰਕਣਾ,DARKAṈÁ
ਦਡ਼ਕਣਾ,DAṚKAṈÁ
ਦਰਕਾਰ,DARKÁR
ਦਰਕਾਊਂ,DARKÁÚṆ
ਦਡ਼ਕਾਉਣਾ,DAṚKÁUṈÁ
ਦਰਖਵਾਸਤੀ,DARKHAWÁSTÍ
ਦਾਰਮਦਾਰ,DÁRMADÁR
ਦਾਰਮਦਾਰੀ,DÁRMADÁRÍ
ਦਰਮਾਹਾ,DARMÁHÁ
ਦਰਮਾਹਾਂ,DARMÁHÁṆ
ਦਡ਼ਨਾ,DAṚNÁ
ਡਾਰਨਾ,ḌÁRNÁ
ਡਰਨਾ,ḌARNÁ
ਦਰੋ,DARO
ਦਰੋਬ,DAROB
ਦਰੋਗਾ,DAROGÁ
ਦਰੋਹਲ,DAROHAL
ਦਰੋਹੀ,DAROHÍ
ਦਰੋਈ,DAROÍ
ਦਰੋਹੀ,DAROHÍ
ਡਰੋਕ,ḌAROK
ਦਰੋਖਾ,DAROKHÁ
ਡਰੋਕਡ਼ੀ,ḌAROKṚÍ
ਦਰੋਪਡ਼,DAROPAṚ
ਦਰੋਵਾ,DAROWÁ
ਦਰਪਣ,DARPAṈ
ਡਰਫੋਕਣਾ,ḌARPHOKṈÁ
ਦੱਰੋ,DARRO
ਦਰਸ,DARS
ਦਰਸਾਲ,DARSÁL
ਦਰਸਣ,DARSAṈ
ਦਰਸ਼ਣ,DARSHAṈ
ਦਰਸਣੀ,DARSAṈÍ
ਦਰਸ਼ਣੀ,DARSHAṈÍ
ਦਰਸਣੀਆ,DARSAṈÍÁ
ਦਰਸ਼ਣੀਆ,DARSHAṈÍÁ
ਦਰਸਨੀਕ,DARSANÍK
ਦਰਸ਼ਨੀਕ,DARSHANÍK
ਦਰਤੂ,DARTÚ
ਦਾਡ਼ੂ,DÁṚÚ
ਦਾਰੂ,DÁRÚ
ਡਰੂ,ḌARÚ
ਦਰੂਦ,DARÚD
ਦਾਰੂਦ,DÁRÚD
ਦਡ਼ੂਹ,DAṚÚH
ਦਰੂਹਲ,DARÚHAL
ਦਰੂਹਨ,DARÚHAN
ਦਰੁਕਨ,DARUKAN
ਦਰੂਕਰੀ,DARÚKRÍ
ਦਰੂਮਲ,DARÚMAL
ਦਰੂਮਬੀ,DARÚMBÍ
ਦਰੂਨ,DARÚN
ਦਰੂੰਦਾ,DARÚṆDÁ
ਦਰੁਡ਼ਾ,DARUṚÁ
ਦਾਰੂਡ਼ਾ,DÁRÚṚÁ
ਦਾਰੂਡ਼ੀ,DÁRÚṚÍ
ਦਰੂਸ,DARÚS
ਦਰੁਸਤ,DARUST
ਦਰੁਸਤੀ,DARUSTÍ
ਦਡ਼ੁਤ,DAṚUT
ਦਰਵਾਜਾ,DARWÁJÁ
ਦਰਵੱਜਾ,DARWAJJÁ
ਡਰਵੱਯਾ,ḌARWAYYÁ
ਡਰਵੈਯਾ,ḌARWAIYÁ
ਦਰਵਾਰੀ,DARWÁRÍ
ਦਰਵੇਸ,DARWES
ਦਰਵੇਸ਼,DARWESH
ਦਰਯਾ,DARYÁ
ਦਰਯਾਉ,DARYÁU
ਦਾਰਯਾ,DÁRYÁ
ਦਰਯਾਈ,DARYÁÍ
ਦਸ,DAS
ਡਸ,ḌAS
ਦਾਸ,DÁS
ਦਸਾਧ,DASÁDH
ਦਸਾਧਣੀ,DASÁDHṈÍ
ਦਸਹਿਰਾ,DASAHIRÁ
ਦਸਾਉਣਾ,DASÁUṈÁ
ਦਸੌਂਧ,DASAUṆDH
ਦਸੌਂਧਣ,DASAUṆDHAṈ
ਦਸੌਂਧੀ,DASAUṆDHÍ
ਦਸਾਉਰ,DASÁUR
ਦਸੌਰ,DASAUR
ਦਸਾਵਰ,DASÁWAR
ਦਸਾਉਰੀ,DASÁURÍ
ਦਸੌਰੀ,DASAURÍ
ਦਸਾਵਰੀ,DASÁWARÍ
ਦਸੇਰਾ,DASERÁ
ਦਾਸੀ,DÁSÍ
ਦਸੀਜਣ,DASÍJAṈ
ਦਸਮਾਂ,DASMÁṆ
ਦਸਮੀ,DASMÍ
ਦਸੋਦਿਸਾ,DASODISÁ
ਦਿਸੋਗਿਆਹਰੀ,DASOGIÁHRÍ
ਦਸੋਕਡ਼,DASOKAṚ
ਦਸੋਤ੍ਰਾ,DASOTRÁ
ਦਾੱਸਾ,DÁSSÁ
ਡਾੱਸਾ,ḌÁSSÁ
ਦੱਸਨ,DASSAN
ਡੱਸਨ,ḌASSAN
ਦੱਸਰ,DASSAR
ਦੱਸੀ,DASSÍ
ਦੱਸਣਾ,DASSṈÁ
ਦੱਸਪੈਣਾ,DASSPAIṈÁ
ਦੱਸਪਾਉਣਾ,DASSPÁUṈÁ
ਦਸਤ,DAST
ਦਸਤਾ,DASTÁ
ਦਸਤਕ,DASTAK
ਦਸਤਕਾ,DASTAKÁ
ਦਸਤਕੀਆ,DASTAKÍÁ
ਦਸਤਾਨਾ,DASTÁNÁ
ਦਸਤਾਰ,DASTÁR
ਦਸਤਾਰਾ,DASTÁRÁ
ਦਸਤਰਖਾਨਾ,DASTARKHÁNÁ
ਦਸਤਾਵੇਜ,DASTÁWEJ
ਦਸਤਾਬੇਜ,DASTÁBEJ
ਦਸਤੀ,DASTÍ
ਦਸਤੂਰ,DASTÚR
ਦਸਤੂਰੀ,DASTÚRÍ
ਦਸਤੂਰੀਆ,DASTÚRÍÁ
ਦਤਸੂਰੀਯਾ,DASTÚRÍYÁ
ਦਸਵਾਂ,DASWÁṆ
ਦਸਵੇਂ,DASWEṆ
ਦਸਵੀਂ,DASWÍṆ
ਦਸਵੰਧ,DASWAṆDH
ਦਸਵੰਧੀ,DASWAṆDHÍ
ਡਟ,ḌAṬ
ਡਾਟ,ḌÁṬ
ਦਾਤ,DÁT
ਦਾਤਾ,DÁTÁ
ਦਾਤੀ,DÁTÍ
ਦਾਤਣ,DÁTAṈ
ਦਤਾਰ,DATÁR
ਦਾਤਾਰ,DÁTÁR
ਦਤਾਰੀ,DATÁRÍ
ਦਾਤਾਰੀ,DÁTÁRÍ
ਦਾਤਰੀ,DÁTARÍ
ਦਾਤੀ,DÁTÍ
ਡਥਾ,ḌATHÁ
ਦਤਿਆਲੂ,DATIÁLÚ
ਡਟਣਾ,ḌAṬṈÁ
ਡਾਟਣਾ,ḌÁṬṈÁ
ਦਾਤਰੀ,DÁTRÍ
ਡਾਤਰੀ,ḌÁTRÍ
ਡੱਟਾ,ḌAṬṬÁ
ਦੱਥਾ,DATTHÁ
ਡੱਠਲ,ḌAṬṬHAL
ਦੱਥਲ,DATTHAL
ਦੱਥਰ,DATTHAR
ਡੱਠਣਾ,ḌAṬṬHṈÁ
ਦੱਥਣਾ,DATTHṈÁ
ਦੱਥਲੈਣਾ,DATTHLAIṈÁ
ਦੱਤੂਰ,DATTÚR
ਦਾਤੁਣ,DÁTUṈ
ਦਾਉ,DAU
ਡਊ,ḌAÚ
ਦਾਊਦੀ,DÁÚDÍ
ਦਊਦੀ,DAÚDÍ
ਡੌਲ,ḌAUL
ਡੌਲਾ,ḌAULÁ
ਦਾਉਲਾ,DÁULÁ
ਡਾਉਲਾ,ḌÁULÁ
ਡੌਲਣਾ,ḌAULAṈÁ
ਡੌਲਣਾ,ḌAULṈÁ
ਦੌਲਤ,DAULAT
ਦੌੱਲਾ,DAULLÁ
ਦਉਣ,DAUṈ
ਦਾਉਣ,DÁUṈ
ਡਾਉਣ,ḌÁUṈ
ਡੌਂ,ḌAUṆ
ਦਾਉਣਾ,DÁUṈÁ
ਡੌਂਡੀ,ḌAUṆḌÍ
ਡੌਂਣੀ,ḌAUṈÍ
ਦਾਉਣੀ,DÁUṈÍ
ਦੌਣੀ,DAUṈÍ
ਦੌਰ,DAUR
ਦੌਡ਼,DAUṚ
ਦੌਰਾ,DAURÁ
ਦੌਡ਼ਾ,DAUṚÁ
ਦੌਡ਼ਾਹਾ,DAUṚÁHÁ
ਦੌਡ਼ਾਕ,DAUṚÁK
ਦੌਡ਼ਾਉਣਾ,DAUṚÁUṈÁ
ਦੌਰੀ,DAURÍ
ਦੌਡ਼ਨਾ,DAUṚṈÁ
ਡੌਰੂ,ḌAURÚ
ਦੌਤ,DAUT
ਦਾਉਤ,DÁUT
ਦਾਉਤੀ,DÁUTÍ
ਦਾਵ,DÁW
ਦਵਾ,DAWÁ
ਦਵਾਈ,DAWÁÍ
ਦਾਵਾ,DÁWÁ
ਦਾਵਹ,DÁWAH
ਦਵਾਦਸੀ,DAWÁDSÍ
ਦਵਾਇਣ,DAWÁIṈ
ਦਵੈਤ,DAWAIT
ਦਵਾਇਤ,DAWÁIT
ਦਵਾਖਡ਼ੀ,DAWÁKHAṚÍ
ਦਵਾਖੀ,DAWÁKHÍ
ਦਵਾਲ,DAWÁL
ਦਵਾਲਾ,DAWÁLÁ
ਦਵਾਲੀ,DAWÁLÍ
ਦਵਾਲੀਆ,DAWÁLÍÁ
ਦਵਾਲਯਾ,DAWÁLYÁ
ਦਵਾਣ,DAWÁṈ
ਦਾਵਾਂ,DÁWÁṆ
ਦਵਾਣਾ,DAWÁṈÁ
ਡਾਵਾਂਡੋਲ,ḌÁWÁṆḌOL
ਦਵਾਪਰ,DAWÁPAR
ਦਵਾਰੀ,DAWÁRÍ
ਦਵਾਤ,DAWÁT
ਦਵਾਤਣ,DAWÁTAṈ
ਦਵਾਠੀ,DAWÁṬHÍ
ਦਾਵੀ,DÁWÍ
ਦਵੋਲੀਆ,DAWOLÍÁ
ਦਯਾ,DAYÁ
ਦਯਾਲਗੀ,DAYÁLGÍ
ਦਾਯਾ,DÁYÁ
ਦਾਯਕ,DÁYAK
ਦਯਾਲ,DAYÁL
ਦੇ,DE
ਦੇਚਕਾ,DECHKÁ
ਦੇਚਕੀ,DECHKÍ
ਡੇਡਰ,ḌEḌAR
ਦੇਦਰ,DEDAR
ਡੇਢ,ḌEḌH
ਡੇਢਾ,ḌEḌHÁ
ਦੇਧੇਤਕਲਾ,DEDHETAKLÁ
ਡੇਢੀ,ḌEḌHÍ
ਦੇਗ,DEG
ਦੇਗਰ,DEGAR
ਦੇਗਚਾ,DEGCHÁ
ਦੇਗਚੀ,DEGCHÍ
ਦੇਘ,DEGH
ਡੇਗਣਾ,ḌEGṈÁ
ਦੇਹ,DEH
ਦੇਹਲ,DEHAL
ਦੇਹੀ,DEHÍ
ਡੇਹਮੂ,ḌEHMÚ
ਡੇਹਮੂੰ,ḌEHMÚṆ
ਦੇਹਰਾ,DEHRÁ
ਡੇਹਰਾ,ḌEHRÁ
ਦੇਈ,DEÍ
ਦੇਈਂ,DEÍṆ
ਦੇਜਕਾ,DEJKÁ
ਦੇਕਚਾ,DEKCHÁ
ਦੇਜਕੀ,DEJKÍ
ਦੇਕਚੀ,DEKCHÍ
ਡੇਕ,ḌEK
ਦੇਖ,DEKH
ਡੇਖਣ,ḌEKHAṈ
ਦੇਖਣਾ,DEKHṈÁ
ਦੇਖਵੱਯਾ,DEKHWAYYÁ
ਡੇਲਾ,ḌELÁ
ਡੇਲ੍ਹਾ,ḌELHÁ
ਡੇੱਲਾ,ḌELLÁ
ਡੇਲਡ਼,ḌELAṚ
ਡੇਂਭੂ,ḌEMBHÚ
ਡੇਮੂ,ḌEMHÚ
ਡੇਮੂੰ,ḌEMHÚṆ
ਦੇਣ,DEṈ
ਡੇਣ,ḌEṈ
ਦੇਣਾ,DEṈÁ
ਡੇਂਭੂੰ,ḌEṆBHÚṆ
ਦੇਂਕਲੂ,DEṆDLÚ
ਦੇਂਦਰੂ,DEṆDRÚ
ਦੇਂਹ,DEṆH
ਡੇਂਹ,ḌEṆH
ਦੇਂਥਰ,DEṆTHAR
ਦੇਂਤਰੂ,DEṆTÚRÚ
ਦੇਉਦਾਰ,DEODÁR
ਦੇਉਖਾਦਿਰ,DEOKHÁDIR
ਡੇਰ,ḌER
ਦੇਰ,DER
ਡੇਰ,ḌER
ਦੇਰੀ,DERÍ
ਡੇਰੀ,ḌERÍ
ਡੇਰਾ,ḌERÁ
ਡੇਰਹ,ḌERAH
ਡੇਰਾਣੀ,ḌERÁṈÍ
ਦੇਰਾਣੀ,DERÁṈÍ
ਦੇਸ,DES
ਦੇਸਾਚਾਲ,DESÁCHAL
ਦੇਸਾਚਾਰ,DESÁCHÁR
ਦੇਸਾਢਾਲ,DESÁḌHÁL
ਦੇਸਣ,DESAṈ
ਦੇਸੀ,DESÍ
ਦੇਉ,DEU
ਦੇਉ,DEÚ
ਡੇਊਢ,ḌEUḌH
ਡੇਉਢਾ,ḌEUḌHÁ
ਡੇਉਢੀ,ḌEUḌHÍ
ਦੇਉਹਡ਼ੀ,ḌEUHṚÍ
ਦੇਉਹਰਾ,DEUHRÁ
ਦੇਉਰ,DEUR
ਦੇਉਡ਼੍ਹਾ,ḌEUṚHÁ
ਡੇਉਡ਼੍ਹੀ,ḌEUṚHÍ
ਦੇਉਤਾ,DEUTÁ
ਦੇਵ,DEW
ਦੇਵਾ,DEWÁ
ਡੇਵਣ,ḌEWAṈ
ਦੇਵਣ,DEWAṈ
ਦੇਵੀ,DEWÍ
ਦੇਵਤਾ,DEWTÁ
ਦੇਵਾਲਾ,DEWÁLÁ
ਦੇਵਾਲੀ,DEWÁLÍ
ਦੇਵਰ,DEWAR
ਧਾ,DHÁ
ਢਾ,ḌHÁ
ਢਬ,ḌHAB
ਧਾਬ,DHÁB
ਢਾਬ,ḌHÁB
ਢਬਾ,ḌHABÁ
ਧੱਬਾ,DHABBÁ
ਢੱਬਾ,ḌHABBÁ
ਧੱਬਲਾ,DHABBALÁ
ਧੱਬਲੀ,DHABBALÍ
ਢਬੀਆ,ḌHABÍÁ
ਢਬੂਆ,ḌHABÚÁ
ਢਚਰ,ḌHACHAR
ਢਚਰਣ,ḌHACHARAṈ
ਢਚਰੀ,ḌHACHARÍ
ਢਾਡਣ,ḌHAḌAṈ
ਢਾਡਸ,ḌHÁḌAS
ਢੱਡ,ḌHAḌḌ
ਢੱਢ,ḌHAḌḌH
ਧੱਦ,DHADD
ਧੱਧਾ,DHADDÁ
ਢੱਡਾ,ḌHAḌḌÁ
ਧੱਦਲ,DHADDAL
ਧੱਦਰ,DHADDAR
ਧੱਦਰੀ,DHADDARÍ
ਧਾਧਾ,DHÁDHÁ
ਢਾਢੀ,ḌHÁḌHÍ
ਢਾਡੀ,ḌHÁḌÍ
ਢਾਡੂ,ḌHÁḌÚ
ਧਗ,DHAG
ਧਗਾਣਾ,DHAGÁṈÁ
ਧਗਾਣੇ,DHAGÁṈE
ਧਗਡ਼,DHAGAṚ
ਧੱਗ,DHAGG
ਧਾੱਗਾ,DHÁGGÁ
ਢੱਗਾ,ḌHAGGÁ
ਧੱਗਡ਼ੀ,DHAGGAṚÍ
ਧੱਗਡ਼ੀ,DHAGGṚÍ
ਢੱਗੀ,ḌHAGGÍ
ਧਗਡ਼ਾ,DHAGṚÁ
ਧਗਡ਼ੀ,DHAGṚÍ
ਢਾਗੁਣਾ,ḌHÁGUṈÁ
ਧਾਹ,DHÁH
ਢਾਹ,ḌHÁH
ਢਹਿ,ḌHAHI
ਢਾਹਾ,ḌHÁHÁ
ਢਹਾਈ,ḌHAHÁÍ
ਢਹਾਉਣਾ,ḌHAHÁUṈÁ
ਢਹਿਣਾ,ḌHAHIṈÁ
ਢਾਹਣਾ,ḌHÁHṈÁ
ਧਾਈ,DHÁÍ
ਢਾਈ,ḌHÁÍ
ਢਾਇਆ,ḌHÁIÁ
ਢਾਈਆ,ḌHÁÍÁ
ਢਈਆ,ḌHAÍÁ
ਧੈਹਧੈਹ,DHAIH
ਢੈਹਢੈਹ,ḌHAIH
ਢੈਜਾਣਾ,JÁṈÁ
ਢੈਖਾਣੀ,KHÁṈÍ
ਢੈਲਾ,ḌHAILÁ
ਧੈਣ,DHAIṈ
ਧਾਈਂ,DHÁÍṆ
ਢਾਈਂ,ḌHÁÍṆ
ਢੈਣਾ,ḌHAIṈÁ
ਢੈਪੈਣਾ,DHAIPAIṈÁ
ਢਈਯਾ,ḌHAÍYÁ
ਧਜ,DHAJ
ਧਜਾ,DHAJÁ
ਧਜਾ,DHAJÁ
ਧਜੀਲਾ,DHAJÍLÁ
ਧੱਜੀ,DHAJJÍ
ਢਕ,ḌHAK
ਧਾਕ,DHÁK
ਢਾਕ,ḌHÁK
ਢਕਾਈ,ḌHAKÁÍ
ਢਕਣ,ḌHAKAṈ
ਢਕਾਰ,ḌHAKÁR
ਢਕਾਰਣ,ḌHAKÁRAṈ
ਢਕਾਰੀ,ḌHAKÁRÍ
ਢਕਾਉਣਾ,ḌHAKÁUṈÁ
ਧਕਾਉਣਾ,DHAKÁUṈÁ
ਧਕਧੁੱਨਾ,DHAKDHUNNÁ
ਧਕੇਲਦੇਣਾ,DHAKELDEṈÁ
ਧਕੇਲਣਾ,DHAKELṈÁ
ਧਕੇਲ੍ਹੋ,DHAKELO
ਧਕੋਲੂ,DHAKELÚ
ਦਾਖ,DHÁKH
ਢਕੀਜਣ,ḌHAKÍJAṈ
ਧੱਕ,DHAKK
ਢੱਕ,ḌHAKK
ਧੱਕਾ,DHAKKÁ
ਢੱਕਾ,ḌHAKKÁ
ਧੱਕਮਧੱਕਾ,DHAKKÁ
ਧੱਕਡ਼,DHAKKAṚ
ਧੱਖ,DHAKKH
ਧੱਖੀ,DHAKKHÍ
ਢੱਕੀ,ḌHAKKÍ
ਢੱਕਮਕੌਡ਼ਾ,ḌHAKKMAKAUṚÁ
