Word,Translit,Normalized
चटखना,caṭakhnā,c a tt a kh n aa
चटखनी,caṭakhnī,c a tt a kh n ii
चटखारना,caṭkhārnā,c a tt kh aa r n aa
चटखारा,caṭkhārā,c a tt kh aa r aa
चटखा़रा,caṭkhा़rā,c a tt kh ा ़ r aa
चटचटा,caṭacṭā,c a tt a c tt aa
चटचटाना,caṭacṭānā,c a tt a c tt aa n aa
चटना,caṭnā,c a tt n aa
चटनी,caṭnī,c a tt n ii
चटपट,caṭpaṭ,c a tt p a tt
चटपटा,caṭapṭā,c a tt a p tt aa
चटपटाना,caṭapṭānā,c a tt a p tt aa n aa
चटपटी,caṭapṭī,c a tt a p tt ii
चटरचटर,caṭracṭar,c a tt r a c tt a r
चटरी,caṭrī,c a tt r ii
चटवाना,caṭvānā,c a tt v aa n aa
चटसाल,caṭsāl,c a tt s aa l
चटाई,caṭāī,c a tt aa ii
चटाई,caṭāī,c a tt aa ii
चटाक,caṭāk,c a tt aa k
चटाका,caṭākā,c a tt aa k aa
चटाख,caṭākh,c a tt aa kh
चटाना,caṭānā,c a tt aa n aa
चटिया,caṭiyā,c a tt i y aa
चटुल,caṭul,c a tt u l
चटोर,caṭor,c a tt o r
चटोरा,caṭorā,c a tt o r aa
चटोरापन,caṭorāpan,c a tt o r aa p a n
चट्टा,caṭṭā,c a tt tt aa
चट्टा,caṭṭā,c a tt tt aa
चट्टान,caṭṭān,c a tt tt aa n
चट्टाबट्टा,caṭṭābaṭṭā,c a tt tt aa b a tt tt aa
चट्टी,caṭṭī,c a tt tt ii
चट्टी,caṭṭī,c a tt tt ii
चट्टी,caṭṭī,c a tt tt ii
चड़,caṛ,c a rr
चड़चड़ाना,caṛacṛānā,c a rr a c rr aa n aa
चड़बड़,caṛbaṛ,c a rr b a rr
चड़बड़िया,caṛabṛiyā,c a rr a b rr i y aa
चड़ाक,caṛāk,c a rr aa k
चड्डा,caḍḍā,c a dd dd aa
चड्डी,caḍḍī,c a dd dd ii
चड्ढी,caḍḍhī,c a dd ddh ii
चढ़ती,caṛhtī,c a rrh t ii
चढ़न,caṛhan,c a rrh a n
चढ़ना,caṛhnā,c a rrh n aa
चढ़वाना,caṛhvānā,c a rrh v aa n aa
चढ़वैया,caṛhvaiyā,c a rrh v E y aa
चढ़ाई,caṛhāī,c a rrh aa ii
चढ़ाऊ,caṛhāū,c a rrh aa uu
चढ़ाना,caṛhānā,c a rrh aa n aa
चढ़ाव,caṛhāv,c a rrh aa v
चढ़ावा,caṛhāvā,c a rrh aa v aa
चढ़ैत,caṛhait,c a rrh E t
चढ़ैता,caṛhaitā,c a rrh E t aa
चढ़ैया,caṛhaiyā,c a rrh E y aa
चढ़ौवा,caṛhauvā,c a rrh O v aa
चताख,catākh,c a t aa kh
चताख़,catāx,c a t aa x
चतुर,catur,c a t u r
चतुर,catur,c a t u r
चतुरता,caturtā,c a t u r t aa
चतुराई,caturāī,c a t u r aa ii
चतुर्थ,caturth,c a t u r th
चतुर्थी,caturthī,c a t u r th ii
चतुष्,catuṣ,c a t u sh
चतुष्तय,catuṣtay,c a t u sh t a y
चद्दर,caddar,c a d d a r
चनक,canak,c a n a k
चनक,canak,c a n a k
चनकना,canaknā,c a n a k n aa
चनचनाना,canacnānā,c a n a c n aa n aa
चनचनाहट,canacnāhaṭ,c a n a c n aa h a tt
चनसुर,cansur,c a n s u r
चना,canā,c a n aa
चनार,canār,c a n aa r
चनी,canī,c a n ii
चनेठ,caneṭh,c a n e tth
चपकन,capkan,c a p k a n
चपकना,capaknā,c a p a k n aa
चपकाना,capkānā,c a p k aa n aa
चपटना,capaṭnā,c a p a tt n aa
चपटा,capṭā,c a p tt aa
चपटाना,capṭānā,c a p tt aa n aa
चपटी,capṭī,c a p tt ii
चपड़क़नाती,capṛaqnātī,c a p rr a q n aa t ii
चपड़चपड़,capṛacpaṛ,c a p rr a c p a rr
चपड़ना,capaṛnā,c a p a rr n aa
चपड़ा,capṛā,c a p rr aa
चपड़ा,capṛā,c a p rr aa
चपड़ासी,capṛāsī,c a p rr aa s ii
चपत,capat,c a p a t
चपना,capnā,c a p n aa
चपनी,capnī,c a p n ii
चपरास,caprās,c a p r aa s
चपरासी,caprāsī,c a p r aa s ii
चपरि,capri,c a p r i
चपरी,caprī,c a p r ii
चपल,capal,c a p a l
चपलता,capaltā,c a p a l t aa
चपला,caplā,c a p l aa
चपलाई,caplāī,c a p l aa ii
चपाती,capātī,c a p aa t ii
चपाना,capānā,c a p aa n aa
चपेकना,capeknā,c a p e k n aa
चपेट,capeṭ,c a p e tt
चपेटना,capeṭnā,c a p e tt n aa
चपेटा,capeṭā,c a p e tt aa
चप्पल,cappal,c a p p a l
चप्पलसेहुँड़,cappalsehũṛ,c a p p a l s e h u ~ rr
चप्पा,cappā,c a p p aa
चप्पी,cappī,c a p p ii
चप्पू,cappū,c a p p uu
चबक,cabak,c a b a k
चबकना,cabaknā,c a b a k n aa
चबना,cabnā,c a b n aa
चबरचबर,cabracbar,c a b r a c b a r
चबवाना,cabvānā,c a b v aa n aa
चबाई,cabāī,c a b aa ii
चबाना,cabānā,c a b aa n aa
चबूतरा,cabūtrā,c a b uu t r aa
चबेना,cabenā,c a b e n aa
चबेनी,cabenī,c a b e n ii
चबोड़,caboṛ,c a b o rr
चभक,cabhak,c a bh a k
चभच्चा,cabhaccā,c a bh a c c aa
चभड़चभड़,cabhṛacbhaṛ,c a bh rr a c bh a rr
चभना,cabhnā,c a bh n aa
चमक,camak,c a m a k
चमकना,camaknā,c a m a k n aa
चमकवाना,camakvānā,c a m a k v aa n aa
चमकाना,camkānā,c a m k aa n aa
चमकारा,camkārā,c a m k aa r aa
चमकारी,camkārī,c a m k aa r ii
चमकी,camkī,c a m k ii
चमकीला,camkīlā,c a m k ii l aa
चमकीलापन,camkīlāpan,c a m k ii l aa p a n
चमकौवल,camkauval,c a m k O v a l
चमक्को,camakko,c a m a k k o
चमगादड़,camgādaṛ,c a m g aa d a rr
चमचम,camcam,c a m c a m
चमचमाना,camacmānā,c a m a c m aa n aa
चमचमाहट,camacmāhaṭ,c a m a c m aa h a tt
चमचा,camcā,c a m c aa
चमचिच्चड़,camciccaṛ,c a m c i c c a rr
चमची,camcī,c a m c ii
चमड़ा,camṛā,c a m rr aa
चमड़ी,camṛī,c a m rr ii
चमत्कार,camatkār,c a m a t k aa r
चमत्कारक,camatkārak,c a m a t k aa r a k
चमत्कारिक,camatkārik,c a m a t k aa r i k
चमत्कारित,camatkārit,c a m a t k aa r i t
चमत्कारिता,camatkāritā,c a m a t k aa r i t aa
चमत्कारी,camatkārī,c a m a t k aa r ii
चमत्कृत,camatkŕt,c a m a t k r i t
चमत्कृति,camatkŕti,c a m a t k r i t i
चमन,caman,c a m a n
चमर,camar,c a m a r
चमर,camar,c a m a r
चमरख,camrakh,c a m r a kh
चमरस,camras,c a m r a s
चमरावत,camrāvat,c a m r aa v a t
चमरी,camrī,c a m r ii
चमला,camlā,c a m l aa
चमाइन,camāin,c a m aa i n
चमाऊ,camāū,c a m aa uu
चमाचम,camācam,c a m aa c a m
चमार,camār,c a m aa r
चमारन,camāran,c a m aa r a n
चमारनी,camārnī,c a m aa r n ii
चमारिन,camārin,c a m aa r i n
चमारी,camārī,c a m aa r ii
चमूकन,camūkan,c a m uu k a n
चमेली,camelī,c a m e l ii
चमोकन,camokan,c a m o k a n
चमोटा,camoṭā,c a m o tt aa
चमोटी,camoṭī,c a m o tt ii
चमौवा,camauvā,c a m O v aa
चम्मच,cammac,c a m m a c
चयन,cayan,c a y a n
चर,car,c a r
चर,car,c a r
चरक,carak,c a r a k
चरकटा,carakṭā,c a r a k tt aa
चरका,carkā,c a r k aa
चरख़,carax,c a r a x
चरख़ा,carxā,c a r x aa
चरख़ी,carxī,c a r x ii
चरग,carag,c a r a g
चरच,carac,c a r a c
चरचर,carcar,c a r c a r
चरचरा,caracrā,c a r a c r aa
चरचराना,caracrānā,c a r a c r aa n aa
चरचराहट,caracrāhaṭ,c a r a c r aa h a tt
चरचरी,caracrī,c a r a c r ii
चरचूँ,carcū̃,c a r c uu ~
चरट,caraṭ,c a r a tt
चरड़चरड़,carṛacraṛ,c a r rr a c r a rr
चरण,caraṇ,c a r a n
चरत,carat,c a r a t
चरती,cartī,c a r t ii
चरना,carnā,c a r n aa
चरना,carnā,c a r n aa
चरनी,carnī,c a r n ii
चरन्नी,carannī,c a r a n n ii
चरपरा,caraprā,c a r a p r aa
चरपराना,caraprānā,c a r a p r aa n aa
चरपराहट,caraprāhaṭ,c a r a p r aa h a tt
चरफरा,caraphrā,c a r a ph r aa
चरबाँक,carbā̃k,c a r b aa ~ k
चरबी,carbī,c a r b ii
चरम,caram,c a r a m
चरमर,carmar,c a r m a r
चरवाई,carvāī,c a r v aa ii
चरवाना,carvānā,c a r v aa n aa
चरवाहा,carvāhā,c a r v aa h aa
चरवाही,carvāhī,c a r v aa h ii
चरवैया,carvaiyā,c a r v E y aa
चरस,caras,c a r a s
चरसा,carsā,c a r s aa
चरसिया,carsiyā,c a r s i y aa
चरसी,carsī,c a r s ii
चरा,carā,c a r aa
चराई,carāī,c a r aa ii
चराक,carāk,c a r aa k
चरान,carān,c a r aa n
चराना,carānā,c a r aa n aa
चराव,carāv,c a r aa v
चरिंदा,carindā,c a r i n d aa
चरित,carit,c a r i t
चरित्र,caritr,c a r i t r
चरी,carī,c a r ii
चरी,carī,c a r ii
चरुआ,caruā,c a r u aa
चरैया,caraiyā,c a r E y aa
चर्चा,carcā,c a r c aa
चर्चित,carcit,c a r c i t
चर्म,carm,c a r m
चर्मार,carmār,c a r m aa r
चर्मी,carmī,c a r m ii
चर्या,caryā,c a r y aa
चर्रमर्र,carramarr,c a r r a m a r r
चर्राना,carrānā,c a r r aa n aa
चर्वण,carvaṇ,c a r v a n
चल,cal,c a l
चलंता,calantā,c a l a n t aa
चलता,caltā,c a l t aa
चलता,caltā,c a l t aa
चलती,caltī,c a l t ii
चलतू,caltū,c a l t uu
चलन,calan,c a l a n
चलना,calnā,c a l n aa
चलवाना,calvānā,c a l v aa n aa
चलवैया,calvaiyā,c a l v E y aa
चलाऊ,calāū,c a l aa uu
चलान,calān,c a l aa n
चलाना,calānā,c a l aa n aa
चलायमान,calāyamān,c a l aa y a m aa n
चलाव,calāv,c a l aa v
चलावा,calāvā,c a l aa v aa
चलित,calit,c a l i t
चलौना,calaunā,c a l O n aa
चवन्नी,cavannī,c a v a n n ii
चवाई,cavāī,c a v aa ii
चवालीस,cavālīs,c a v aa l ii s
चशमा,caśmā,c a sh m aa
चश्म,caśm,c a sh m
चश्मा,caśmā,c a sh m aa
चषक,caṣak,c a sh a k
चस,cas,c a s
चसक,casak,c a s a k
चसकना,casaknā,c a s a k n aa
चस्का,caskā,c a s k aa
चस्पाँ,caspā̃,c a s p aa ~
चस्पा,caspā,c a s p aa
चह,cah,c a h
चहक,cahak,c a h a k
चहक,cahak,c a h a k
चहकना,cahaknā,c a h a k n aa
चहका,cahkā,c a h k aa
चहकार,cahkār,c a h k aa r
चहकारना,cahkārnā,c a h k aa r n aa
चहचहा,cahachā,c a h a ch aa
चहचहाना,cahachānā,c a h a ch aa n aa
चहचहाहट,cahachāhaṭ,c a h a ch aa h a tt
चहचहिया,cahachiyā,c a h a ch i y aa
चहना,cahnā,c a h n aa
चहबच्चा,cahbaccā,c a h b a c c aa
चहल,cahal,c a h a l
चहल,cahal,c a h a l
चहल,cahal,c a h a l
चहला,cahlā,c a h l aa
चहली,cahlī,c a h l ii
चहार,cahār,c a h aa r
चहुँ,cahũ,c a h u ~
चहूँ,cahū̃,c a h uu ~
चहेता,cahetā,c a h e t aa
चहोड़,cahoṛ,c a h o rr
चाँक,cā̃k,c aa ~ k
चाँक,cā̃k,c aa ~ k
चाँगला,cā̃glā,c aa ~ g l aa
चाँचर,cā̃car,c aa ~ c a r
चाँचर,cā̃car,c aa ~ c a r
चाँचरि,cā̃cri,c aa ~ c r i
चाँचरी,cā̃crī,c aa ~ c r ii
चांचल्य,cāñcaly,c aa n ~ c a l y
चाँटा,cā̃ṭā,c aa ~ tt aa
चाँटी,cā̃ṭī,c aa ~ tt ii
चाँटी,cā̃ṭī,c aa ~ tt ii
चाँड,cā̃ḍ,c aa ~ dd
चाँड़,cā̃ṛ,c aa ~ rr
चाँड़,cā̃ṛ,c aa ~ rr
चांडाल,cāṇḍāl,c aa n dd aa l
चाँद,cā̃d,c aa ~ d
चाँद,cā̃d,c aa ~ d
चाँदना,cā̃dnā,c aa ~ d n aa
चाँदनी,cā̃dnī,c aa ~ d n ii
चाँदला,cā̃dlā,c aa ~ d l aa
चाँदा,cā̃dā,c aa ~ d aa
चाँदी,cā̃dī,c aa ~ d ii
चाँदीला,cā̃dīlā,c aa ~ d ii l aa
चांद्र,cāndr,c aa n d r
चाँप,cā̃p,c aa ~ p
चाँपना,cā̃pnā,c aa ~ p n aa
चाँयचाँय,cā̃yacā̃y,c aa ~ y a c aa ~ y
चाँवचाँव,cā̃vcā̃v,c aa ~ v c aa ~ v
चाँवल,cā̃val,c aa ~ v a l
चा,cā,c aa
चाइयाँ,cāiyā̃,c aa i y aa ~
चाई,cāī,c aa ii
चाई,cāī,c aa ii
चाक़,cāq,c aa q
चाक,cāk,c aa k
चाक,cāk,c aa k
चाक,cāk,c aa k
चाक,cāk,c aa k
चाकर,cākar,c aa k a r
चाकरानी,cākrānī,c aa k r aa n ii
चाकरी,cākrī,c aa k r ii
चाका,cākā,c aa k aa
चाकी,cākī,c aa k ii
चाक़ू,cāqū,c aa q uu
चाक्षुस,cākṣus,c aa k sh u s
चाख,cākh,c aa kh
चाखना,cākhnā,c aa kh n aa
चाचरि,cācri,c aa c r i
चाचा,cācā,c aa c aa
चाची,cācī,c aa c ii
चाट,cāṭ,c aa tt
चाटना,cāṭnā,c aa tt n aa
चाटा,cāṭā,c aa tt aa
चाटी,cāṭī,c aa tt ii
चाटी,cāṭī,c aa tt ii
चाटु,cāṭu,c aa tt u
चाटू,cāṭū,c aa tt uu
चाड़,cāṛ,c aa rr
चाड़ी,cāṛī,c aa rr ii
चातक,cātak,c aa t a k
चातुर,cātur,c aa t u r
चातुर,cātur,c aa t u r
चातुरी,cāturī,c aa t u r ii
चातुर्य,cātury,c aa t u r y
चादर,cādar,c aa d a r
चादरा,cādrā,c aa d r aa
चाप,cāp,c aa p
चढ़ाना,caṛhānā,c a rrh aa n aa
चाप,cāp,c aa p
चापट,cāpaṭ,c aa p a tt
चापड़,cāpaṛ,c aa p a rr
चापना,cāpnā,c aa p n aa
चापलूस,cāplūs,c aa p l uu s
चापलूसी,cāplūsī,c aa p l uu s ii
चापल्य,cāpaly,c aa p a l y
चापी,cāpī,c aa p ii
चाफंद,cāphand,c aa ph a n d
चाबना,cābnā,c aa b n aa
चाबी,cābī,c aa b ii
चाबुक,cābuk,c aa b u k
चाबू,cābū,c aa b uu
चाभना,cābhnā,c aa bh n aa
चाभी,cābhī,c aa bh ii
चाभुक,cābhuk,c aa bh u k
चाम,cām,c aa m
चामर,cāmar,c aa m a r
चामीकर,cāmīkar,c aa m ii k a r
चामुंडा,cāmuṇḍā,c aa m u n dd aa
चाय,cāy,c aa y
चार,cār,c aa r
चार,cār,c aa r
चार,cār,c aa r
चारख़ाना,cārxānā,c aa r x aa n aa
चारण,cāraṇ,c aa r a n
चारपाई,cārpāī,c aa r p aa ii
चारा,cārā,c aa r aa
चारा,cārā,c aa r aa
चारु,cāru,c aa r u
चारुता,cārutā,c aa r u t aa
चारोली,cārolī,c aa r o l ii
चार्वाक,cārvāk,c aa r v aa k
चाल,cāl,c aa l
चाल,cāl,c aa l
चालक,cālak,c aa l a k
चालन,cālan,c aa l a n
चालना,cālnā,c aa l n aa
चालनी,cālnī,c aa l n ii
चालनीय,cālnīya,c aa l n ii y a
चाला,cālā,c aa l aa
चालाक,cālāk,c aa l aa k
चालाकी,cālākī,c aa l aa k ii
चालान,cālān,c aa l aa n
चालीस,cālīs,c aa l ii s
चालीसा,cālīsā,c aa l ii s aa
चालू,cālū,c aa l uu
चाव,cāv,c aa v
चावल,cāval,c aa v a l
चाशनी,cāśnī,c aa sh n ii
चाष,cāṣ,c aa sh
चास,cās,c aa s
चासना,cāsnā,c aa s n aa
चासा,cāsā,c aa s aa
चाह,cāh,c aa h
चाह,cāh,c aa h
चाहक,cāhak,c aa h a k
चाहत,cāhat,c aa h a t
चाहता,cāhtā,c aa h t aa
चाहना,cāhnā,c aa h n aa
चाहा,cāhā,c aa h aa
चाहिए,cāhie,c aa h i e
चाही,cāhī,c aa h ii
चाहीता,cāhītā,c aa h ii t aa
चाहे,cāhe,c aa h e
चाहो,cāho,c aa h o
चिंगड़ा,ciṅgṛā,c i ng g rr aa
चिंगड़ी,ciṅgṛī,c i ng g rr ii
चिंगारी,ciṅgārī,c i ng g aa r ii
चिंघाड़,ciṅghāṛ,c i ng gh aa rr
चिंघाड़ना,ciṅghāṛnā,c i ng gh aa rr n aa
चिंचा,ciñcā,c i n ~ c aa
चिंचिनी,ciñcinī,c i n ~ c i n ii
चिंतक,cintak,c i n t a k
चिंतन,cintan,c i n t a n
चिंतना,cintnā,c i n t n aa
चिंतना,cintnā,c i n t n aa
चिंतनीय,cintnīya,c i n t n ii y a
चिंता,cintā,c i n t aa
चिंतायमान,cintāyamān,c i n t aa y a m aa n
चिंतित,cintit,c i n t i t
चिंत्य,cinty,c i n t y
चिंदी,cindī,c i n d ii
चिउँटा,ciũṭā,c i u ~ tt aa
चिउँटी,ciũṭī,c i u ~ tt ii
चिउड़ा,ciuṛā,c i u rr aa
चिउरा,ciurā,c i u r aa
चिक़,ciq,c i q
चिक,cik,c i k
चिक,cik,c i k
चिकट,cikaṭ,c i k a tt
चिकटना,cikaṭnā,c i k a tt n aa
चिकटा,cikṭā,c i k tt aa
चिकन,cikan,c i k a n
चिकना,ciknā,c i k n aa
चिकनाई,ciknāī,c i k n aa ii
चिकनाना,ciknānā,c i k n aa n aa
चिकनापन,ciknāpan,c i k n aa p a n
चिकनाहट,ciknāhaṭ,c i k n aa h a tt
चिकनिया,cikniyā,c i k n i y aa
चिकसा,ciksā,c i k s aa
चिकारा,cikārā,c i k aa r aa
चिकारा,cikārā,c i k aa r aa
चिकारी,cikārī,c i k aa r ii
चिकित्सक,cikitsak,c i k i t s a k
चिकित्सा,cikitsā,c i k i t s aa
चिकित्सित,cikitsit,c i k i t s i t
चिकित्स्य,cikitsy,c i k i t s y
चिकुर,cikur,c i k u r
चिकोटना,cikoṭnā,c i k o tt n aa
चिकोटी,cikoṭī,c i k o tt ii
चिक्कट,cikkaṭ,c i k k a tt
चिक्कणी,cikkaṇī,c i k k a n ii
चिक्करना,cikkarnā,c i k k a r n aa
चिक्का,cikkā,c i k k aa
चिखर,cikhar,c i kh a r
चिखवाना,cikhvānā,c i kh v aa n aa
चिखुर,cikhur,c i kh u r
चिखुरन,cikhuran,c i kh u r a n
चिखुरना,cikhurnā,c i kh u r n aa
चिखौना,cikhaunā,c i kh O n aa
चिचड़ी,cicṛī,c i c rr ii
चिचरा,cicrā,c i c r aa
चिचिंडा,ciciṇḍā,c i c i n dd aa
चिचियाना,ciciyānā,c i c i y aa n aa
चिट,ciṭ,c i tt
चिटकनी,ciṭaknī,c i tt a k n ii
चिटकना,ciṭaknā,c i tt a k n aa
चिटखनी,ciṭakhnī,c i tt a kh n ii
चिट्टा,ciṭṭā,c i tt tt aa
चिट्ठा,ciṭṭhā,c i tt tth aa
चिठ्ठी,ciṭhṭhī,c i tth tth ii
चिड़,ciṛ,c i rr
चिड़चिड़ा,ciṛciṛā,c i rr c i rr aa
चिड़चिड़ाना,ciṛciṛānā,c i rr c i rr aa n aa
चिड़चिड़ापन,ciṛciṛāpan,c i rr c i rr aa p a n
चिड़चिड़ाहट,ciṛciṛāhaṭ,c i rr c i rr aa h a tt
चिड़ना,ciṛnā,c i rr n aa
चिड़वा,ciṛvā,c i rr v aa
चिड़ा,ciṛā,c i rr aa
चिड़ाना,ciṛānā,c i rr aa n aa
चिड़ालू,ciṛālū,c i rr aa l uu
चिड़िया,ciṛiyā,c i rr i y aa
चिड़ी,ciṛī,c i rr ii
चिढ़,ciṛh,c i rrh
चिढ़ना,ciṛhnā,c i rrh n aa
चिढ़वाना,ciṛhvānā,c i rrh v aa n aa
चिढ़ाना,ciṛhānā,c i rrh aa n aa
चित,cit,c i t
चित,cit,c i t
चितकबरा,citkabrā,c i t k a b r aa
चित्कार,citkār,c i t k aa r
चितना,citnā,c i t n aa
चितला,citlā,c i t l aa
चितवन,citvan,c i t v a n
चितवना,citavnā,c i t a v n aa
चितवनि,citavni,c i t a v n i
चिता,citā,c i t aa
चिताखा,citākhā,c i t aa kh aa
चिताना,citānā,c i t aa n aa
चिति,citi,c i t i
चितेरा,citerā,c i t e r aa
चितेरिन,citerin,c i t e r i n
चित्त,citt,c i t t
चित्तरसारी,cittarsārī,c i t t a r s aa r ii
चित्तल,cittal,c i t t a l
चित्ती,cittī,c i t t ii
चित्र,citr,c i t r
चित्रक,citrak,c i t r a k
चित्रण,citraṇ,c i t r a n
चित्रा,citrā,c i t r aa
चित्रिणी,citriṇī,c i t r i n ii
चित्रित,citrit,c i t r i t
चिथड़ा,cithṛā,c i th rr aa
चिथड़िया,cithṛiyā,c i th rr i y aa
चिथाड़ना,cithāṛnā,c i th aa rr n aa
चिथेड़ना,citheṛnā,c i th e rr n aa
चिद्,cid,c i d
चिन्,cin,c i n
चिनक,cinak,c i n a k
चिनग,cinag,c i n a g
चिनगना,cinagnā,c i n a g n aa
चिनगारी,cingārī,c i n g aa r ii
चिनगी,cingī,c i n g ii
चिनना,cinnā,c i n n aa
चिनार,cinār,c i n aa r
चिनिया,ciniyā,c i n i y aa
चिनिया,ciniyā,c i n i y aa
चिनौती,cinautī,c i n O t ii
चिन्ह,cinh,c i n h
चिन्हवाना,cinhavānā,c i n h a v aa n aa
चिन्हाना,cinhānā,c i n h aa n aa
चिन्हानी,cinhānī,c i n h aa n ii
चिन्हार,cinhār,c i n h aa r
चिन्हारी,cinhārī,c i n h aa r ii
चिपक,cipak,c i p a k
चिपकना,cipaknā,c i p a k n aa
चिपकवाना,cipakvānā,c i p a k v aa n aa
चिपकाना,cipkānā,c i p k aa n aa
चिपकू,cipkū,c i p k uu
चिपचिपा,cipcipā,c i p c i p aa
चिपचिपाना,cipcipānā,c i p c i p aa n aa
चिपचिपाहट,cipcipāhaṭ,c i p c i p aa h a tt
चिपटना,cipaṭnā,c i p a tt n aa
चिपटा,cipṭā,c i p tt aa
चिपटाना,cipṭānā,c i p tt aa n aa
चिपटापन,cipṭāpan,c i p tt aa p a n
चिपड़ी,cipṛī,c i p rr ii
चिप्पड़,cippaṛ,c i p p a rr
चिप्पी,cippī,c i p p ii
चिबिल्ला,cibillā,c i b i l l aa
चिबुक,cibuk,c i b u k
चिमटना,cimaṭnā,c i m a tt n aa
चिमटा,cimṭā,c i m tt aa
चिमटाना,cimṭānā,c i m tt aa n aa
चिमटी,cimṭī,c i m tt ii
चिमड़ा,cimṛā,c i m rr aa
चियाँ,ciyā̃,c i y aa ~
चिरं,ciram,c i r a m
चिरंजी,cirañjī,c i r a n ~ j ii
चिरंजीवी,cirañjīvī,c i r a n ~ j ii v ii
चिरंतन,cirantan,c i r a n t a n
चिर,cir,c i r
चिरकना,ciraknā,c i r a k n aa
चिरकुट,cirkuṭ,c i r k u tt
चिरचिटा,circiṭā,c i r c i tt aa
चिरचिरा,circirā,c i r c i r aa
चिरना,cirnā,c i r n aa
चिरमिराना,cirmirānā,c i r m i r aa n aa
चिरमिराहट,cirmirāhaṭ,c i r m i r aa h a tt
चिरवाई,cirvāī,c i r v aa ii
चिरवाना,cirvānā,c i r v aa n aa
चिराँद,cirā̃d,c i r aa ~ d
चिराई,cirāī,c i r aa ii
चिराग़,cirāġ,c i r aa Gh
चिरातन,cirātan,c i r aa t a n
चिराना,cirānā,c i r aa n aa
चिरायंद,cirāyand,c i r aa y a n d
चिरायता,cirāyatā,c i r aa y a t aa
चिराव,cirāv,c i r aa v
चिरौंजी,cirauñjī,c i r O n ~ j ii
चिरौटा,cirauṭā,c i r O tt aa
चिरौरी,ciraurī,c i r O r ii
चिर्क,cirk,c i r k
चिर्मिठी,cirmiṭhī,c i r m i tth ii
चिलक,cilak,c i l a k
चिलकना,cilaknā,c i l a k n aa
चिलकी,cilkī,c i l k ii
चिलग़ोज़ा,cilġozā,c i l Gh o z aa
चिलचिल,cilcil,c i l c i l
चिलचिलाना,cilcilānā,c i l c i l aa n aa
चिलड़ा,cilṛā,c i l rr aa
चिलबिल,cilbil,c i l b i l
चिलबिला,cilbilā,c i l b i l aa
चिलबिलापन,cilbilāpan,c i l b i l aa p a n
चिलबिल्ला,cilbillā,c i l b i l l aa
चिलम,cilam,c i l a m
चिलमची,cilamcī,c i l a m c ii
चिलमन,cilman,c i l m a n
चिलवन,cilvan,c i l v a n
चिलवाई,cilvāī,c i l v aa ii
चिलवाना,cilvānā,c i l v aa n aa
चिलहला,cilahlā,c i l a h l aa
चिल्लड़,cillaṛ,c i l l a rr
चिल्लपों,cillapõ,c i l l a p o ~
चिल्लर,cillar,c i l l a r
चिल्ला,cillā,c i l l aa
चिल्ला,cillā,c i l l aa
चिल्लाना,cillānā,c i l l aa n aa
चिल्लाहट,cillāhaṭ,c i l l aa h a tt
चिल्हवाँस,cilhavā̃s,c i l h a v aa ~ s
चिवाना,civānā,c i v aa n aa
चिहाना,cihānā,c i h aa n aa
चिहुँकना,cihũknā,c i h u ~ k n aa
चिह्न,cihn,c i h n
चिह्नित,cihnit,c i h n i t
चीं,cī̃,c ii ~
चींगा,cīṅgā,c ii ng g aa
चींटा,cīṇṭā,c ii n tt aa
चींटी,cīṇṭī,c ii n tt ii
चींथना,cīnthnā,c ii n th n aa
चींदी,cīndī,c ii n d ii
ची,cī,c ii
चीकट,cīkaṭ,c ii k a tt
चीख़,cīx,c ii x
चीखना,cīkhnā,c ii kh n aa
चीख़ना,cīxnā,c ii x n aa
चीखल,cīkhal,c ii kh a l
चीखुर,cīkhur,c ii kh u r
चीज़,cīz,c ii z
चीड़,cīṛ,c ii rr
चीतना,cītnā,c ii t n aa
चीतना,cītnā,c ii t n aa
चीतल,cītal,c ii t a l
चीता,cītā,c ii t aa
चीता,cītā,c ii t aa
चीत्कार,cītkār,c ii t k aa r
चीथड़ा,cīthṛā,c ii th rr aa
चीथना,cīthnā,c ii th n aa
चीन,cīn,c ii n
चीन,cīn,c ii n
चीनना,cīnnā,c ii n n aa
चीना,cīnā,c ii n aa
चीना,cīnā,c ii n aa
चीनिया,cīniyā,c ii n i y aa
चीनी,cīnī,c ii n ii
चीनी,cīnī,c ii n ii
चीन्हना,cīnhanā,c ii n h a n aa
चीन्हा,cīnhā,c ii n h aa
चीपड़,cīpaṛ,c ii p a rr
चीमटा,cīmṭā,c ii m tt aa
चीमड़,cīmaṛ,c ii m a rr
चीयाँ,cīyā̃,c ii y aa ~
चीर,cīr,c ii r
चीर,cīr,c ii r
चीर,cīr,c ii r
चीरना,cīrnā,c ii r n aa
चीरा,cīrā,c ii r aa
चीरा,cīrā,c ii r aa
चीरी,cīrī,c ii r ii
चीरू,cīrū,c ii r uu
चील,cīl,c ii l
चीलड़,cīlaṛ,c ii l a rr
चीलर,cīlar,c ii l a r
चीला,cīlā,c ii l aa
चीलू,cīlū,c ii l uu
चील्ह,cīlh,c ii l h
चील्हड़,cīlhaṛ,c ii l h a rr
चीवर,cīvar,c ii v a r
चीस,cīs,c ii s
चुँगना,cũgnā,c u ~ g n aa
चुंगल,cuṅgal,c u ng g a l
चुंगी,cuṅgī,c u ng g ii
चुंधला,cundhlā,c u n dh l aa
